year, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, MIROC-ES2L
1.901000000000000000e+03, 1.707129330512790144e+00, 9.708274131186740874e+00, 1.109420176047424267e+00, 9.862142307790643159e+00, 3.960084177920625059e+00, 1.355857205591558756e+00, 1.166984895091826457e+00, 7.401094265262156746e+00, 5.721882327654329581e-01, 1.927130981039612223e+00, 2.633763093535117950e+00, 1.219852893750616118e+00, 7.338763285974638784e+00
1.902000000000000000e+03, 1.722830428755314447e+00, 9.757019946769640129e+00, 1.110405289004016582e+00, 9.822916207944933475e+00, 3.980913160737600709e+00, 1.320312202895716824e+00, 1.188125970602561310e+00, 7.365164775186225476e+00, 4.841470325231973515e-01, 1.715707463440103941e+00, 2.694822992637862846e+00, 1.237401631816759107e+00, 7.281066289974021721e+00
1.903000000000000000e+03, 1.772547957856317913e+00, 9.760567520153237808e+00, 1.145493507507362674e+00, 1.000452910439030063e+01, 3.985538875980279006e+00, 1.365110205830000201e+00, 1.217011891989714600e+00, 7.422765174767033791e+00, 6.609773146646710229e-01, 1.653637786473219462e+00, 2.681143344154993891e+00, 1.258153951535578630e+00, 7.283221791793192956e+00
1.904000000000000000e+03, 1.746125952269472315e+00, 9.816043768459925545e+00, 1.115189989193188680e+00, 1.006741498348521446e+01, 3.988424796087433499e+00, 1.353313241045785098e+00, 1.221030310224779480e+00, 7.340322807601692645e+00, 6.527851222093193906e-01, 1.683099297042528253e+00, 2.720945903548872113e+00, 1.273233617016331864e+00, 7.272963125007845697e+00
1.905000000000000000e+03, 1.748657434818924994e+00, 9.875865765380817507e+00, 1.126159115650102960e+00, 9.849327670338361429e+00, 3.962207134599646352e+00, 1.324457682685959981e+00, 1.239056385378432434e+00, 7.325695197082141341e+00, 5.093395963271980520e-01, 1.683628520531851747e+00, 2.704311679367958465e+00, 1.230088727944175675e+00, 7.222499339911748528e+00
1.906000000000000000e+03, 1.695824996249763572e+00, 9.739603912791267248e+00, 1.088804962921914310e+00, 9.733772399891588378e+00, 3.961052680102544077e+00, 1.331328620220249670e+00, 1.235238385291690610e+00, 7.389315107974140595e+00, 4.712463031505537137e-01, 1.866911038493980657e+00, 2.725441980474531345e+00, 1.279112356682728269e+00, 7.251561711302355384e+00
1.907000000000000000e+03, 1.677017408351112460e+00, 9.648212529611640775e+00, 1.077587520856233105e+00, 9.787879934862365516e+00, 3.954720997166152774e+00, 1.340035234204185022e+00, 1.234477039774548368e+00, 7.368414575281412304e+00, 6.520121270458784091e-01, 1.880046686815685097e+00, 2.752125084940220123e+00, 1.253652870677641973e+00, 7.360130308340828265e+00
1.908000000000000000e+03, 1.674661950945377509e+00, 9.651508105500985479e+00, 1.090027498975372655e+00, 9.835624802986671966e+00, 3.963097873047918274e+00, 1.353316769099382144e+00, 1.234684363395340156e+00, 7.378789947559988072e+00, 5.022320571613555495e-01, 1.755557789828781079e+00, 2.780396436600774290e+00, 1.203113379495830637e+00, 7.347394964410305818e+00
1.909000000000000000e+03, 1.704578954383324074e+00, 9.636489801146469247e+00, 1.124322191177374197e+00, 9.888068454873060631e+00, 3.957847265768374978e+00, 1.327750622641946210e+00, 1.234583673791029623e+00, 7.420561277296603642e+00, 5.010015971972214821e-01, 2.026640917915966345e+00, 2.745484879820986102e+00, 1.237068685666194101e+00, 7.253230313826503739e+00
1.910000000000000000e+03, 1.722849546297842593e+00, 9.680040009876847762e+00, 1.112159668482563424e+00, 9.888570371765426970e+00, 3.968802982855046846e+00, 1.341292799727275664e+00, 1.259527419141888149e+00, 7.394480761032101057e+00, 6.434303604305520174e-01, 1.898764990265291885e+00, 2.758188251439510630e+00, 1.266283629042097347e+00, 7.204592541274869255e+00
1.911000000000000000e+03, 1.691199091201218918e+00, 9.599968074391608042e+00, 1.093125918622695369e+00, 9.758180805356607479e+00, 3.965051241704470542e+00, 1.376864926287766133e+00, 1.260328731653130863e+00, 7.451755358834350140e+00, 5.999089754765065674e-01, 1.621709819999862967e+00, 2.792174092816158026e+00, 1.267776307802040314e+00, 7.206062454151693331e+00
1.912000000000000000e+03, 1.609602334960922532e+00, 9.531972963251757136e+00, 1.148410261576830793e+00, 9.647644118863581753e+00, 3.962952622338463904e+00, 1.337396024272394124e+00, 1.243250308833881768e+00, 7.402322674348028819e+00, 4.275117400098199516e-01, 1.678243289196444055e+00, 2.821168352737732032e+00, 1.251486549993844566e+00, 7.122744933239722798e+00
1.913000000000000000e+03, 1.544087400776150920e+00, 9.547535633099348829e+00, 1.132700897186816213e+00, 9.756533029826575998e+00, 3.946631542657631719e+00, 1.363820523137828422e+00, 1.228399483647663493e+00, 7.416900601823677164e+00, 6.537813074573489702e-01, 1.851572572811776229e+00, 2.763207419026717293e+00, 1.240679699098915068e+00, 7.071905724726986975e+00
1.914000000000000000e+03, 1.614036634482304278e+00, 9.502111179800825980e+00, 1.062465539285658123e+00, 9.835229003805823211e+00, 3.974011933084418580e+00, 1.334549395690337370e+00, 1.227075530897768774e+00, 7.466940722734851654e+00, 6.866028715896567158e-01, 1.908247738974434338e+00, 2.693252560631888226e+00, 1.248110011548404286e+00, 7.092331428258971115e+00
1.915000000000000000e+03, 1.669626760463278181e+00, 9.474786256536164686e+00, 1.098713143825201355e+00, 9.785650304971676761e+00, 3.965583615455806399e+00, 1.313583977676528569e+00, 1.225875985784159461e+00, 7.405275641720641566e+00, 5.298097609922036710e-01, 1.834510020523979712e+00, 2.762685887180867716e+00, 1.224845866238348346e+00, 7.147529931630817401e+00
1.916000000000000000e+03, 1.720953740568166968e+00, 9.454541931689059098e+00, 1.137120726273285864e+00, 9.702699962587372440e+00, 3.954298434352099711e+00, 1.327122476170417453e+00, 1.211708072213146137e+00, 7.480206166351594632e+00, 6.465365337215918107e-01, 2.007213853210497501e+00, 2.766486437434363399e+00, 1.249605521455197765e+00, 7.166221816870979033e+00
1.917000000000000000e+03, 1.736429178438967158e+00, 9.475629406372368280e+00, 1.101725147537060190e+00, 9.783839891861280336e+00, 3.940129208281778705e+00, 1.331056802754606805e+00, 1.206005511713843958e+00, 7.411519359616115743e+00, 5.380291306221650638e-01, 1.797710874141156934e+00, 2.798406531633119254e+00, 1.266456362390993462e+00, 7.102664115056069427e+00
1.918000000000000000e+03, 1.678375916190879336e+00, 9.393768222299222259e+00, 1.092206422130543197e+00, 9.852676770604455569e+00, 3.943095083445388394e+00, 1.329363293236164534e+00, 1.213802457518510236e+00, 7.419049724349235042e+00, 4.555006119252272279e-01, 1.617718542057328790e+00, 2.752219685204052357e+00, 1.233747221574964970e+00, 7.028565767517533480e+00
1.919000000000000000e+03, 1.670516302605241865e+00, 9.451260896189399574e+00, 1.136917569143350404e+00, 9.956508420430168371e+00, 3.916904583972845355e+00, 1.371074975375635496e+00, 1.228622403340146718e+00, 7.423236199428264293e+00, 6.049650136293761582e-01, 2.031123105657626216e+00, 2.649503226245239595e+00, 1.218815297476615100e+00, 7.023957473603203994e+00
1.920000000000000000e+03, 1.684393800330715951e+00, 9.534584138023094013e+00, 1.098651866361363805e+00, 9.826112250016546312e+00, 3.958041808006984130e+00, 1.347355991711695289e+00, 1.253235640774674309e+00, 7.465275621120910365e+00, 7.066894147170402762e-01, 1.773491072683396341e+00, 2.758065728064178934e+00, 1.262004688953968223e+00, 7.024314687786536560e+00
1.921000000000000000e+03, 1.680577306444282382e+00, 9.478508983277547983e+00, 1.103229988542389073e+00, 9.694617161932303162e+00, 3.957557951459155010e+00, 1.321381991323203886e+00, 1.236213051493947779e+00, 7.412303545694013174e+00, 4.618638637527456847e-01, 2.012587417301718862e+00, 2.733460236007353661e+00, 1.306121151126110602e+00, 7.023969190434743659e+00
