year, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1
1.956000000000000000e+03, 2.124388352574066780e-09, -1.844662906214068425e-09, 8.702690444163488252e-10, 3.310539724586630697e-10
1.957000000000000000e+03, 2.078626194596393344e-09, -1.892636180831137982e-09, 8.849255087762828770e-10, 3.502620125877436577e-10
1.958000000000000000e+03, 2.059453538273418058e-09, -1.878709860324635939e-09, 8.990917146844531711e-10, 3.578417518658778388e-10
1.959000000000000000e+03, 2.234701399057903092e-09, -1.985570346421597549e-09, 9.217021155697570881e-10, 3.680795134076093319e-10
1.960000000000000000e+03, 2.306205069768379710e-09, -1.957659212142628607e-09, 9.421025975885504336e-10, 3.817668061620598249e-10
1.961000000000000000e+03, 2.424867781220618067e-09, -1.909627041545500326e-09, 6.933839676364922265e-10, 2.216043201142392279e-10
1.962000000000000000e+03, 2.081480975728130318e-09, -1.801698548477064587e-09, 6.992029397043215926e-10, 2.158442363084229417e-10
1.963000000000000000e+03, 2.160999559066125483e-09, -1.869619675919946335e-09, 7.047034628174729778e-10, 2.102754656346209106e-10
1.964000000000000000e+03, 2.325296147813598518e-09, -1.875058716766097299e-09, 7.063720340530868335e-10, 2.044538964935903837e-10
1.965000000000000000e+03, 2.163911457352283488e-09, -1.851891231069007280e-09, 7.083713348387587759e-10, 1.985370294447629220e-10
1.966000000000000000e+03, 2.074043464268766169e-09, -1.902354740487826636e-09, 7.124212681988181228e-10, 1.908081201985684916e-10
1.967000000000000000e+03, 2.415955598418806873e-09, -1.805945025503883915e-09, 7.162160643104485731e-10, 1.858076375920288311e-10
1.968000000000000000e+03, 2.367924293011225816e-09, -1.801332934701158637e-09, 7.179510856694641135e-10, 1.776930504241054509e-10
1.969000000000000000e+03, 2.328871126163317025e-09, -1.747553017435794943e-09, 7.165835260914795085e-10, 1.695377634575607183e-10
1.970000000000000000e+03, 2.153995265656734781e-09, -1.813717956477790950e-09, 7.157618953848150520e-10, 1.591732054098203919e-10
1.971000000000000000e+03, 2.334816182550078250e-09, -1.965627994711111954e-09, 7.925255084994728703e-10, 2.636811143652845331e-10
1.972000000000000000e+03, 2.330382699966284122e-09, -1.879360169981164419e-09, 7.966399677818972192e-10, 2.701304450632403815e-10
1.973000000000000000e+03, 2.626942612880313899e-09, -1.861713656619656472e-09, 7.984239729536597460e-10, 2.769351854143983404e-10
1.974000000000000000e+03, 2.362031903720815297e-09, -1.946854484327906835e-09, 8.025250170103051510e-10, 2.792809242125910858e-10
1.975000000000000000e+03, 2.383087417578725686e-09, -2.058217205094948558e-09, 8.072210118192507689e-10, 2.865737153699070318e-10
1.976000000000000000e+03, 2.322280160573992887e-09, -2.009638067371027265e-09, 8.080540801317421550e-10, 2.943015956578904269e-10
1.977000000000000000e+03, 2.499005056060027025e-09, -1.990003812985180440e-09, 8.089009499584338241e-10, 2.988562901836061332e-10
1.978000000000000000e+03, 2.531832629164161561e-09, -2.054792098541091981e-09, 8.087484854015219447e-10, 3.067294368558172380e-10
1.979000000000000000e+03, 2.557093835857849295e-09, -1.980231731522729440e-09, 8.076047659694318053e-10, 3.153508577953996862e-10
1.980000000000000000e+03, 2.572405725551054586e-09, -1.930920967865596259e-09, 8.077978177191310933e-10, 3.199384962468811464e-10
1.981000000000000000e+03, 2.468642585138026774e-09, -2.172377945266176118e-09, 1.132894659599393203e-09, 3.454143789536314348e-10
1.982000000000000000e+03, 2.322589608827921943e-09, -2.372574913795830461e-09, 1.144694837895244469e-09, 3.557962703325289138e-10
1.983000000000000000e+03, 2.467365860387329487e-09, -2.643689186987928824e-09, 1.168028588917908041e-09, 3.707135029338480057e-10
1.984000000000000000e+03, 2.620079825223488340e-09, -2.543765508745697907e-09, 1.187393852799248633e-09, 3.847727312175909064e-10
1.985000000000000000e+03, 2.803055852756528889e-09, -2.542629793284128336e-09, 1.188072695437594595e-09, 3.954414580180785832e-10
1.986000000000000000e+03, 2.499949282313172878e-09, -2.661992625387129456e-09, 1.195305993494512391e-09, 3.997142076699835326e-10
1.987000000000000000e+03, 2.768900714841577752e-09, -2.494557637203251838e-09, 1.207706622161282731e-09, 4.056470450856241631e-10
1.988000000000000000e+03, 3.060455182839067528e-09, -2.542116507261515050e-09, 1.215990855201034501e-09, 4.188837412835678148e-10
1.989000000000000000e+03, 3.057587771782034669e-09, -2.437298165896159043e-09, 1.211232422114158243e-09, 4.199707669319141774e-10
1.990000000000000000e+03, 2.769167227798362980e-09, -2.707356895574151408e-09, 1.211483459152162356e-09, 4.259961352456041159e-10
1.991000000000000000e+03, 2.921260878032133697e-09, -2.596590341512862355e-09, 9.110454736365593102e-10, 2.473131410184230901e-10
1.992000000000000000e+03, 3.249059246290482193e-09, -2.530532869688938847e-09, 8.852499053411518348e-10, 2.430949064940568973e-10
1.993000000000000000e+03, 2.999131143276070193e-09, -2.482869225350680625e-09, 8.610171883897486816e-10, 2.349189825491232764e-10
1.994000000000000000e+03, 2.598252725645187889e-09, -2.415178195608047080e-09, 8.422765432864956980e-10, 2.273829240210409178e-10
1.995000000000000000e+03, 3.043831941903978879e-09, -2.541000911732200921e-09, 8.248504206498031139e-10, 2.188689494752764443e-10
1.996000000000000000e+03, 3.094355544153369848e-09, -2.481687563802985848e-09, 8.079696441840796142e-10, 2.097351874311672074e-10
1.997000000000000000e+03, 3.028174098614623395e-09, -2.517528847679748183e-09, 7.931990146335676401e-10, 1.998577025009744417e-10
1.998000000000000000e+03, 2.849203606810626681e-09, -2.627380276802070209e-09, 7.805283165773186907e-10, 1.898379413531330011e-10
1.999000000000000000e+03, 2.993756533000501574e-09, -2.583163687790814098e-09, 7.702713525170071906e-10, 1.812453076371542776e-10
2.000000000000000000e+03, 3.418356230901330457e-09, -2.466301502443483791e-09, 7.611696567555299454e-10, 1.715500229235287924e-10
2.001000000000000000e+03, 2.884514097270587767e-09, -2.787813236434093936e-09, 1.103921263091642627e-09, 4.095171309652912200e-10
2.002000000000000000e+03, 2.700611214532254570e-09, -2.643120119636445007e-09, 9.079874563664153318e-10, 2.331451682438245846e-10
2.003000000000000000e+03, 3.077815332504240198e-09, -3.392159847985129013e-09, 1.779725875394792775e-09, 6.091674203086528928e-10
2.004000000000000000e+03, 3.155394392377193947e-09, -3.651101803385933237e-09, 1.803732699766950514e-09, 7.359015599546583359e-10
2.005000000000000000e+03, 3.060601433068198510e-09, -2.703894089018859235e-09, 9.069274562917201010e-10, 3.226495342518810664e-10
2.006000000000000000e+03, 3.127847022904339150e-09, -2.915426496346269463e-09, 1.216499795431762538e-09, 4.820746886222528075e-10
2.007000000000000000e+03, 3.303921274069831984e-09, -3.158544592038298459e-09, 1.115427514637990544e-09, 4.539650953777279970e-10
2.008000000000000000e+03, 3.295642477082336583e-09, -3.398402503627065536e-09, 1.390565398629529300e-09, 6.238401172495815590e-10
2.009000000000000000e+03, 3.558049750861686509e-09, -3.190453018142375777e-09, 1.429338091812360290e-09, 6.328048972274573021e-10
2.010000000000000000e+03, 3.542628010894419047e-09, -3.572386281955409762e-09, 1.985605890346608347e-09, 1.209609953643727194e-09
2.011000000000000000e+03, 3.424987120980355199e-09, -3.584423947927441417e-09, 1.224349829548486651e-09, 5.039485111343299200e-10
2.012000000000000000e+03, 3.549881158856562127e-09, -3.199138758874780873e-09, 1.019935710121030599e-09, 5.767584417446218923e-10
2.013000000000000000e+03, 3.414341274684658497e-09, -3.804877254905562930e-09, 1.696255297518365150e-09, 9.386771710721936985e-10
2.014000000000000000e+03, 3.528261035423657646e-09, -3.562247387831902884e-09, 1.317128287973572742e-09, 7.119432037667584228e-10
