year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
1.947000000000000000e+03, 5.561322751247701533e-13, 2.050990191401112680e-10, 6.753210408824561104e-10, 1.926492801707608181e-09, 1.162089933827325780e-09, 2.859580750535034063e-10, 5.440843898531524331e-11, 3.145388737475596355e-09
1.948000000000000000e+03, 5.277056896347144728e-13, 2.090445834428054454e-10, 6.972509073817056307e-10, 1.929784473425044090e-09, 1.170485543146829704e-09, 2.953267446186312522e-10, 5.472809488038827480e-11, 3.173522825467366650e-09
1.949000000000000000e+03, 5.499384149920461527e-13, 2.090240775936095070e-10, 6.548162214116738094e-10, 1.952361577751744679e-09, 1.162176453282156013e-09, 3.048383151488795281e-10, 5.491672380775309123e-11, 3.292483647384069554e-09
1.950000000000000000e+03, 8.564620721257099944e-13, 2.062498108695738439e-10, 6.531085641396614900e-10, 2.104995104672447314e-09, 1.315106226409475911e-09, 3.159701047916412151e-10, 5.526095315656658068e-11, 3.398754716532231407e-09
1.951000000000000000e+03, 1.389412298910042877e-12, 2.706208400789655162e-10, 7.198277162613996044e-10, 2.179690992627643040e-09, 1.311772262001357337e-09, 3.276127405758281593e-10, 5.559080207733775838e-11, 3.433425657085578732e-09
1.952000000000000000e+03, 1.719642773706708280e-12, 2.966341522612117016e-10, 7.020405407865415536e-10, 2.204035686843578253e-09, 1.301316639198780590e-09, 3.392410119818667007e-10, 6.266843033743995586e-11, 3.447199313570079961e-09
1.953000000000000000e+03, 1.695743141144854639e-12, 3.092313545410847084e-10, 7.649074940172775921e-10, 2.250874536257959051e-09, 1.254449970929316342e-09, 3.518258747666266469e-10, 6.977305272425539427e-11, 3.465625877635708951e-09
1.954000000000000000e+03, 3.887473932963117142e-12, 3.169913958107727286e-10, 8.660697137096736840e-10, 2.306887221582119102e-09, 1.399440481061680884e-09, 3.654626955052797703e-10, 7.701076539768227547e-11, 3.516168986129206376e-09
1.955000000000000000e+03, 6.028381851221379495e-12, 3.243629242078777384e-10, 8.687854237658642536e-10, 2.335455990448101772e-09, 1.407622637229564215e-09, 3.799986011901663863e-10, 8.458218407999016264e-11, 3.588000700759881025e-09
1.956000000000000000e+03, 7.036459022622581472e-12, 3.320929955774502788e-10, 8.409919404023009105e-10, 2.357896649724874830e-09, 1.410579111924598721e-09, 3.945826664665508781e-10, 9.230835300589857474e-11, 3.661438820053635053e-09
1.957000000000000000e+03, 7.502414981963205368e-12, 3.351138451423714414e-10, 8.477781239851749798e-10, 2.400990697491403787e-09, 1.438943372702478590e-09, 4.091415019111134426e-10, 1.003956625991398556e-10, 3.710528333231881313e-09
1.958000000000000000e+03, 7.763589583198640423e-12, 3.421490828067399739e-10, 8.683217389344165800e-10, 2.455147551930270824e-09, 1.405018378020343789e-09, 4.237030495217410084e-10, 1.090117982903975328e-10, 3.786619256010492511e-09
1.959000000000000000e+03, 8.322851081510695423e-12, 3.457451606097895013e-10, 1.021004512083022887e-09, 2.491494831267039957e-09, 1.491186056699879527e-09, 4.381750443031805528e-10, 1.173299957639324448e-10, 3.843796308776274590e-09
1.960000000000000000e+03, 9.417176297414779424e-12, 3.475568447643489558e-10, 1.053370252614223397e-09, 2.345127343015415668e-09, 1.441355442498625215e-09, 4.420323967719533152e-10, 1.256800061664442645e-10, 3.740250535567980867e-09
1.961000000000000000e+03, 1.001329477234486733e-11, 2.591411699460404105e-10, 9.942782412297131898e-10, 2.335600737506625414e-09, 1.330754294656976249e-09, 4.380505904659694443e-10, 1.284093120213515117e-10, 3.686056294817051353e-09
1.962000000000000000e+03, 1.041011001111238793e-11, 2.247058563943786012e-10, 1.065239076175841634e-09, 2.336233187020587923e-09, 1.225550017762692811e-09, 4.414279467439838055e-10, 1.220749554727499234e-10, 3.661618630951082668e-09
1.963000000000000000e+03, 1.072369171443407035e-11, 2.047958718368668273e-10, 1.021507836295351081e-09, 2.323212233820831716e-09, 1.296981025584303343e-09, 4.485128435503873717e-10, 1.156199803199034022e-10, 3.701934960532567442e-09
1.964000000000000000e+03, 1.104249284387374626e-11, 1.951089589243963501e-10, 9.396471192065689240e-10, 2.327530405887921488e-09, 1.300306822817224272e-09, 4.532808713604439030e-10, 1.089748925036469131e-10, 3.703984204558053818e-09
