year, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CanESM5, CMCC-ESM2, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR
2.091000000000000000e+03, -2.721573259069443407e-10, -4.702394467229797141e-10, 7.475695356736318312e-10, -1.144934544885340749e-09, -1.247858831853221059e-09, -7.757040898241067018e-11, 1.616639770599170367e-10, 4.417049194445913940e-11
2.092000000000000000e+03, -7.591390418218910355e-10, 6.002789164446443095e-10, -1.673777401845209352e-09, -4.217806707380340674e-10, -2.021407510718324703e-09, -5.365846091396698227e-11, -1.442596579991839478e-09, -2.819189806664331048e-10
2.093000000000000000e+03, 2.830409878709406580e-10, 6.489602051230155956e-10, 6.203077293457999363e-10, 1.478354946722372813e-09, -2.514551952612185056e-09, 5.719814246246977781e-10, 3.277983300647051181e-10, -3.909411989125513156e-10
2.094000000000000000e+03, 6.426193793924830190e-10, 4.152604495636576876e-10, -8.703210968185762914e-10, -8.038598033556736267e-10, 2.745240077784356061e-09, 8.233225229264915569e-10, 3.868350270056578481e-10, 5.921721058975576584e-10
2.095000000000000000e+03, 1.804066347224614431e-10, 7.670266197413863503e-10, 1.131291187762829086e-09, 3.101251577554321224e-09, -3.057050376280023142e-10, 1.465480510502270051e-09, -4.993819685578943267e-11, 1.802775129113791646e-09
2.096000000000000000e+03, -8.317103674021182174e-10, -3.854004700450024591e-10, 1.209442837858431615e-10, 3.074140521070401838e-10, 7.000235691840605742e-10, 6.003520181612373683e-10, -1.253472597588790245e-09, 1.196866956805333479e-09
2.097000000000000000e+03, 6.124052674929298998e-10, 2.530152084030547091e-10, -2.361861415612139447e-09, 1.139445531844041956e-10, 3.080181241247688371e-10, 6.753431166244325762e-10, -1.749749693545199683e-09, -5.576081583120063075e-10
2.098000000000000000e+03, -5.374087564317907496e-10, 4.548865785919380924e-10, 1.398424830142256273e-09, 1.482672863182026226e-09, -1.503629627113546959e-09, 5.402480206453410231e-10, 3.346571315096834539e-10, -3.291623565688214178e-10
2.099000000000000000e+03, -8.852291511143903259e-10, -5.317928852418499409e-10, -5.924742319007002090e-10, -9.810993747689056519e-10, -1.408167827939817927e-09, -3.969105517030464362e-10, 1.469473919798050866e-09, -3.229085005075088708e-10
2.100000000000000000e+03, 2.210506179929018177e-10, -5.943337113798538300e-10, -9.325472980571010320e-10, -1.091128605537985682e-09, 1.317782033637680722e-09, -5.426543556886412451e-10, 5.256728557273507751e-10, 9.074636627112348553e-10
