year, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM
2.085000000000000000e+03, 1.267063331976908348e-12, 8.478448065163611757e-10, 3.158488108284836157e-12, 3.197399698514827660e-10, 1.726255632978460629e-09, 1.140785009506753776e-10, 2.207584250381606326e-12, 2.918313390854141460e-10, 4.174729716101310013e-10
2.086000000000000000e+03, 1.251423056163704100e-12, 7.947515677409930475e-10, 3.218799301590238144e-12, 2.908096267749514779e-10, 1.611841113532326814e-09, 1.174543466000675064e-10, 2.206076019617267924e-12, 2.784303737397851201e-10, 4.096606584971594999e-10
2.087000000000000000e+03, 1.256932252684534770e-12, 6.983598634076850488e-10, 3.304413675621873166e-12, 2.315333804872707088e-10, 1.704844833648651586e-09, 1.163121937985826809e-10, 2.201796410489286012e-12, 2.867829895369720533e-10, 4.057024226034599169e-10
2.088000000000000000e+03, 1.271532474273320974e-12, 6.557444031710177733e-10, 3.308088894445763364e-12, 2.412901032046740190e-10, 1.862067039875354231e-09, 1.267139075876885683e-10, 2.189638531017874165e-12, 2.777960136399972449e-10, 4.494840837197197631e-10
2.089000000000000000e+03, 1.361892924050798977e-12, 7.209298513363057973e-10, 3.286334492937817854e-12, 2.691664323410699034e-10, 1.836153208973049420e-09, 1.195914007991958043e-10, 2.147236681089847200e-12, 3.024965210847405087e-10, 4.423031153701662018e-10
2.090000000000000000e+03, 1.423186077966027211e-12, 7.573991987051357537e-10, 3.248784111903530650e-12, 3.389966966745598165e-10, 1.681548254705600455e-09, 1.137049955308785720e-10, 2.231867047211588467e-12, 3.182925892451836832e-10, 4.179094128189444310e-10
2.091000000000000000e+03, 1.447388000472130714e-12, 5.861295692332627868e-10, 3.187869421206255167e-12, 3.215926200779761044e-10, 1.520952350639106139e-09, 1.568837227098917996e-10, 2.305387812155181688e-12, 3.145708166271289315e-10, 4.108301068972584375e-10
2.092000000000000000e+03, 1.459812169621827824e-12, 8.729683286499728331e-10, 3.137083114756424288e-12, 2.265651491931086587e-10, 1.755888600615119618e-09, 8.680761395454041637e-11, 2.324381051515912312e-12, 3.037142426288917035e-10, 3.154686670797904979e-10
2.093000000000000000e+03, 1.472919530015325984e-12, 9.375821099663067346e-10, 3.106464617717431929e-12, 2.398878241722629175e-10, 1.964018310081584540e-09, 1.046598129239070147e-10, 2.316681894111279072e-12, 2.944436028848377039e-10, 3.656703136399283337e-10
2.094000000000000000e+03, 1.439356282740489306e-12, 9.534543469627149982e-10, 3.059721550951083118e-12, 2.951824604519058877e-10, 1.840085864395837917e-09, 1.771539422703519805e-10, 2.297927952681468435e-12, 3.210077451070054238e-10, 3.945082606104179010e-10
2.095000000000000000e+03, 1.392887718389626761e-12, 8.235540935426897994e-10, 3.004852288833417745e-12, 3.274716254532172293e-10, 1.755670939033413240e-09, 1.644636781975225719e-10, 2.289356955256438057e-12, 3.387754342928186600e-10, 3.785733987106011646e-10
2.096000000000000000e+03, 1.334538710583589482e-12, 8.204785290921516077e-10, 2.953797303937331502e-12, 2.512943721871990724e-10, 1.650759234208242983e-09, 1.532104474905401912e-10, 2.277004380854686019e-12, 3.302148593341878788e-10, 3.936669139063720064e-10
2.097000000000000000e+03, 1.317122548429858932e-12, 8.992589936418834040e-10, 2.902208909962393440e-12, 3.199217775168720811e-10, 1.840120532180344629e-09, 1.830879592817174272e-10, 2.262920997717001690e-12, 3.341789504908327981e-10, 3.704579247479685012e-10
2.098000000000000000e+03, 1.314795893335974560e-12, 8.536970145993548620e-10, 2.863816941754797814e-12, 3.434956515675134250e-10, 1.829277714668477767e-09, 1.422180817140602759e-10, 2.258381773069681680e-12, 3.357156830539618778e-10, 4.327384731242664004e-10
2.099000000000000000e+03, 1.196736806465064316e-12, 8.323724405617812674e-10, 2.913742074588651774e-12, 3.300607968927374317e-10, 1.872546850149201400e-09, 1.109374302036436303e-10, 2.257179546159604004e-12, 3.148274918491615601e-10, 4.481428121063466928e-10
2.100000000000000000e+03, 1.893155725741285842e-12, 7.452347175426300913e-10, 0.000000000000000000e+00, 3.313922275360561587e-10, 1.750084545182192838e-09, 1.705792984801239738e-10, 2.428765841941953003e-12, 2.831647825603078119e-10, 3.854447140512616585e-10
