year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM, CESM2-WACCM
2.081000000000000000e+03, 1.385474066551619072e-10, 3.913906033998430275e-10, 1.916656030015218803e-10, 8.663005627120391372e-10, 3.913906033998430275e-10, 5.571747652805654768e-10, 2.777426418533471866e-11, 1.916656030015218803e-10, 2.777426418533471866e-11, 1.353527431473705658e-10, 1.930866664175537456e-10, 2.391789446932356237e-10
2.082000000000000000e+03, 1.266943644778800659e-10, 2.985666105128040330e-10, 1.311292924734152608e-10, 4.777829900529040526e-10, 2.985666105128040330e-10, 6.537174302820490678e-10, 2.420923546597906082e-11, 1.311292924734152608e-10, 2.420923546597906082e-11, 1.234876898991278600e-10, 2.370994127014667731e-10, 2.951318699941929335e-10
2.083000000000000000e+03, 1.843257763989546018e-10, 2.574814317009183465e-10, 2.068347570601596805e-10, 2.439285521046661572e-10, 2.574814317009183465e-10, 7.599025384030946112e-10, 2.585184389357369972e-11, 2.068347570601596805e-10, 2.585184389357369972e-11, 1.810877828628024905e-10, 1.673952341339076553e-10, 2.240126807472575750e-10
2.084000000000000000e+03, 1.711254087124638900e-10, 3.827739440138420037e-10, 2.720795613914387238e-10, 2.361885941957873858e-10, 3.827739440138420037e-10, 6.101146433230214726e-10, 2.857177373819740825e-11, 2.720795613914387238e-10, 2.857177373819740825e-11, 1.677336855743651108e-10, 1.731482784476355795e-10, 2.470972605560144710e-10
2.085000000000000000e+03, 1.373363599448461622e-10, 3.456291410987062877e-10, 2.494760536158253326e-10, 4.262238468656078692e-10, 3.456291410987062877e-10, 7.197659789460458247e-10, 2.900283078228884733e-11, 2.494760536158253326e-10, 2.900283078228884733e-11, 1.338972327348450541e-10, 2.486172595313776374e-10, 2.057983960599938404e-10
2.086000000000000000e+03, 1.584660475607345404e-10, 3.868469695376654487e-10, 2.674701275778787000e-10, 5.218954773317684131e-10, 3.868469695376654487e-10, 6.048966863658073001e-10, 2.120205367623443036e-11, 2.674701275778787000e-10, 2.120205367623443036e-11, 1.551273423002450448e-10, 2.211703054631054012e-10, 2.460085311228671567e-10
2.087000000000000000e+03, 1.611295333839083247e-10, 3.454554419821442798e-10, 2.327673327285636995e-10, 1.455153023801338952e-10, 3.454554419821442798e-10, 6.401588411005300895e-10, 4.294701151043519487e-11, 2.327673327285636995e-10, 4.294701151043519487e-11, 1.578571769346019153e-10, 1.912886764112826574e-10, 2.196252357103534139e-10
2.088000000000000000e+03, 1.268184810037998642e-10, 4.774120211027162441e-10, 2.119216189621191743e-10, 2.714425843647987353e-10, 4.774120211027162441e-10, 4.871311120814728679e-10, 3.231436228307814383e-11, 2.119216189621191743e-10, 3.231436228307814383e-11, 1.237301946063927859e-10, 1.689182774502558662e-10, 3.038549567811102529e-10
2.089000000000000000e+03, 1.856051433926439867e-10, 3.302347086116992974e-10, 2.314246081679614643e-10, 5.489499917006819007e-10, 3.302347086116992974e-10, 5.332610336238488104e-10, 2.428014316216523801e-11, 2.314246081679614643e-10, 2.428014316216523801e-11, 1.822758122568204796e-10, 2.076549819139580380e-10, 2.877947089339512759e-10
2.090000000000000000e+03, 1.890600897070792454e-10, 3.463633867943389150e-10, 1.941935988122191897e-10, 4.368351949502819078e-10, 3.463633867943389150e-10, 5.101548002535713080e-10, 3.087314084636492364e-11, 1.941935988122191897e-10, 3.087314084636492364e-11, 1.857768716096085760e-10, 2.436991198583329691e-10, 2.375889736342642048e-10
