year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2, IPSL-CM6A-LR
1.923000000000000000e+03, 7.007299786162402217e-12, 4.422039991067563662e-10, 2.979998632850813715e-10, 8.178337820273332079e-11, 1.586512718367978535e-11, 4.492234774102234046e-12, 8.566686637869172767e-12, 3.774557052519698679e-10
1.924000000000000000e+03, 7.389972465661220629e-12, 4.459100138342655590e-10, 2.984452180238505701e-10, 7.693786430914734404e-11, 1.632430911417563430e-11, 4.932069008166325082e-12, 8.882199393402779741e-12, 3.752067520840460755e-10
1.925000000000000000e+03, 7.882269632346275315e-12, 4.512398625964653301e-10, 2.973920794255359945e-10, 7.771031436846882785e-11, 1.641588971363100154e-11, 5.111157039836129413e-12, 9.177337361003318305e-12, 3.758982074524624389e-10
1.926000000000000000e+03, 8.397595589447039335e-12, 4.553773672697889576e-10, 2.984800632594068682e-10, 7.926771132744832947e-11, 1.676948176815358719e-11, 5.413600742731478234e-12, 9.455790786813933745e-12, 3.943357429920401284e-10
1.927000000000000000e+03, 8.951709641355623559e-12, 4.582846675021984935e-10, 3.011668657790776804e-10, 8.280962351317586463e-11, 1.673720034379030628e-11, 5.592764931154551021e-12, 9.722476260398477226e-12, 3.813237889228765920e-10
1.928000000000000000e+03, 9.651387602286369181e-12, 4.619750590194356567e-10, 3.002705459809504239e-10, 8.478245051569025224e-11, 1.708735195067685407e-11, 5.837538409606664062e-12, 9.985926332373506499e-12, 3.902076459473580067e-10
1.929000000000000000e+03, 1.032611837066960357e-11, 4.640635090163402561e-10, 2.981678571092512882e-10, 8.850979040938782309e-11, 1.711392019703248386e-11, 5.913397964549223101e-12, 1.024731598410352260e-11, 4.065508363255988124e-10
1.930000000000000000e+03, 1.100128933642029735e-11, 5.047214554622184543e-10, 3.058621641319963119e-10, 8.773818389558099507e-11, 1.727499201605303763e-11, 6.563337879785938349e-12, 1.093747451207007330e-11, 3.991177848699818076e-10
1.931000000000000000e+03, 1.151583987609631750e-11, 5.200375078310290027e-10, 3.184808458399627873e-10, 9.160228925761846977e-11, 2.202252370608199234e-11, 8.446214059246395463e-12, 1.194372059129336371e-11, 4.332674591480846201e-10
1.932000000000000000e+03, 1.261098382201789983e-11, 5.285093823227841613e-10, 3.281798233835584340e-10, 9.634738312996658259e-11, 2.377238199233055672e-11, 9.999787835872305766e-12, 1.280274240365318845e-11, 4.405218544996147556e-10
1.933000000000000000e+03, 1.373698913655359221e-11, 5.374685448587770437e-10, 3.283762345735157435e-10, 1.010395145651320545e-10, 2.545954286806763559e-11, 1.052119873732370604e-11, 1.353562069095993820e-11, 4.344246014241254829e-10
1.934000000000000000e+03, 1.505942861249572050e-11, 5.418144355126647483e-10, 3.269750613462905848e-10, 1.111232941862576817e-10, 2.589670171456817720e-11, 1.052573247324081063e-11, 1.416357631290093744e-11, 4.389999326505327505e-10
1.935000000000000000e+03, 1.644407691438220039e-11, 5.505636321957864514e-10, 3.284440736007832153e-10, 1.120716566061193662e-10, 2.664682896092803137e-11, 1.072879423574894143e-11, 1.471647585537375133e-11, 4.466837699228946637e-10
1.936000000000000000e+03, 1.774510070210758753e-11, 5.552580146868993702e-10, 3.393449564470046090e-10, 1.080541449007495059e-10, 2.662507641724901053e-11, 1.186158281219774025e-11, 1.521297142319931219e-11, 4.521865200975132452e-10
1.937000000000000000e+03, 1.891492055974562656e-11, 5.584557211210803796e-10, 3.493769198683035072e-10, 1.112930165157603537e-10, 2.737242719899890499e-11, 1.176108612735940275e-11, 1.566737997618841925e-11, 4.768139041823968511e-10
1.938000000000000000e+03, 2.008797062313587340e-11, 5.667772853832579903e-10, 3.577613481848510759e-10, 1.138226949821719952e-10, 2.802244981190221732e-11, 1.215813945607176764e-11, 1.608780217190004192e-11, 4.790709771207529324e-10
1.939000000000000000e+03, 2.171290723590237198e-11, 5.706253501090452449e-10, 3.677968201346918470e-10, 1.192619087929959261e-10, 2.809266875945237156e-11, 1.297449176027231798e-11, 1.647248158551295284e-11, 4.676930512805630681e-10
1.940000000000000000e+03, 2.338406961486969062e-11, 6.898884925075803226e-10, 3.920177267407444775e-10, 1.203105542548941734e-10, 2.879934062879904336e-11, 1.736279890640652562e-11, 1.880495486085439136e-11, 4.839626176440256677e-10
1.941000000000000000e+03, 2.458338659044377704e-11, 7.404109723457928233e-10, 4.003963130366762765e-10, 1.327605748399987559e-10, 4.873478850661705487e-11, 2.400029729097004880e-11, 2.254848614731392723e-11, 6.154586005938430233e-10
1.942000000000000000e+03, 2.634579038421896547e-11, 7.667441577258814597e-10, 4.077708782108173001e-10, 1.466321757327132880e-10, 5.537021731724883337e-11, 2.725883284517134419e-11, 2.558040901114013313e-11, 6.476926600405307374e-10
1.943000000000000000e+03, 2.822303968991302104e-11, 7.846830957912502210e-10, 4.102516588858904989e-10, 1.540470342635704596e-10, 5.957537711495280144e-11, 2.974824452128926238e-11, 2.806188166752988308e-11, 6.391441771092859684e-10
1.944000000000000000e+03, 3.054728801393260255e-11, 8.060833413802369425e-10, 4.196709505911409048e-10, 1.591430584498003964e-10, 6.202868438346776907e-11, 3.119305135175311543e-11, 3.007482542678103172e-11, 6.502306390575314977e-10
1.945000000000000000e+03, 3.380242826863356807e-11, 8.228237249271612736e-10, 4.380934281786947139e-10, 1.622415592503633265e-10, 6.461946017611006497e-11, 3.214763066795488010e-11, 3.169213286920527692e-11, 6.465012169071304826e-10
