year, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.918000000000000000e+03, 2.753181998027792883e-10, 1.542139986166644366e-10, 1.547440189604479974e-10, 1.255105409295847352e-10, 2.385020032229745505e-10, 1.409813907408242767e-10, 2.178778886160186667e-10, 4.075140733438817401e-12, 5.057077895978497647e-11, 9.300486663452501967e-11
1.919000000000000000e+03, 2.747685093787498825e-10, 1.550563413437792674e-10, 1.527464349564965613e-10, 1.254993838671396841e-10, 2.801572133052796957e-10, 1.425289847254267015e-10, 2.191600725151726466e-10, 3.954709999725382316e-12, 4.936651027123906421e-11, 9.229540778889617218e-11
1.920000000000000000e+03, 2.768143538537241896e-10, 1.751865076255089365e-10, 1.502064782230287407e-10, 1.556310738105833391e-10, 2.790871274870735341e-10, 1.445539072285778376e-10, 2.391903061766101296e-10, 4.207594987240221564e-12, 4.807756603357435714e-11, 1.061406437895362022e-10
1.921000000000000000e+03, 3.235406946716617667e-10, 1.755976692956970728e-10, 2.083014270463834262e-10, 1.571872082597260717e-10, 2.726844019299167901e-10, 1.547188975786814037e-10, 2.440462209476746833e-10, 4.121804689312555020e-12, 5.892517157095160272e-11, 1.159552378557641259e-10
1.922000000000000000e+03, 3.266636503397787699e-10, 1.731276793849625016e-10, 2.134461625321336032e-10, 1.606390165159635501e-10, 2.643884213357204449e-10, 1.577196298225715476e-10, 2.430502407077691680e-10, 4.410025003812513291e-12, 5.879541806377537760e-11, 1.185797192343373903e-10
1.923000000000000000e+03, 3.386109379751665835e-10, 1.761340366959493586e-10, 2.192309089586304260e-10, 1.627492141686321986e-10, 2.513138036279187361e-10, 1.604571799791221244e-10, 2.640479355795330113e-10, 5.096932690251201212e-12, 5.909103284018347904e-11, 1.193188679985873053e-10
1.924000000000000000e+03, 3.382876746486461017e-10, 1.783991234404200550e-10, 2.275941268063979612e-10, 1.649386514188240375e-10, 2.328601248819093164e-10, 1.615440607881372318e-10, 2.675373408046290618e-10, 5.660994350888450322e-12, 5.916439934127670900e-11, 1.212002264816632060e-10
1.925000000000000000e+03, 3.368869649334411562e-10, 1.804977682728874022e-10, 2.325608143460519018e-10, 1.646813523874095992e-10, 2.465445990004600494e-10, 1.623305095150503413e-10, 2.497090359875040884e-10, 7.113282276047229900e-12, 5.924082908997282372e-11, 1.246130252385798054e-10
1.926000000000000000e+03, 3.309283777388335887e-10, 1.781174634743359079e-10, 2.389991740345366033e-10, 1.645583563525934708e-10, 2.457780495593164288e-10, 1.631404728277193715e-10, 2.457781770640025613e-10, 8.720426174920032925e-12, 5.935168441826168932e-11, 1.267869104751109037e-10
1.927000000000000000e+03, 3.321913955650707831e-10, 1.821679875847258945e-10, 2.469737893057949312e-10, 1.678590417006983490e-10, 2.398092153741353318e-10, 1.637733324881667951e-10, 2.603796516648868156e-10, 1.012874891957743104e-11, 5.964030363929882855e-11, 1.254016778356217386e-10
