year, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
1.914000000000000000e+03, 6.134343390195675509e-10, 1.071335753587154529e-10, 4.897320801454215412e-10, 1.445944014037985712e-10, 2.334288194636654024e-10, 2.334288194636654024e-10, 4.897320801454215412e-10, 1.071335753587154529e-10, 6.159141198807682697e-10, 4.770857443772051928e-10, 1.594331108796155247e-10, 6.253559662631925959e-10
1.915000000000000000e+03, 6.198223290696394362e-10, 1.072896124761020456e-10, 4.462250066270400686e-10, 1.699337153342013438e-10, 2.295368531975142406e-10, 2.295368531975142406e-10, 4.462250066270400686e-10, 1.072896124761020456e-10, 6.223172275628392390e-10, 4.497932414492506394e-10, 1.047755915968873844e-10, 5.624141508926315930e-10
1.916000000000000000e+03, 6.617206436625720390e-10, 1.271075310921120840e-10, 3.832420413472567752e-10, 1.587016679047789086e-10, 2.148340212296990969e-10, 2.148340212296990969e-10, 3.832420413472567752e-10, 1.271075310921120840e-10, 6.642358005760542435e-10, 5.322657267946818130e-10, 1.583429893810391007e-10, 4.501726064911612620e-10
1.917000000000000000e+03, 6.129116932467467566e-10, 1.876781768263337852e-10, 3.735254767673002850e-10, 1.345486373173576890e-10, 2.280641940980057448e-10, 2.280641940980057448e-10, 3.735254767673002850e-10, 1.876781768263337852e-10, 6.153803702647889853e-10, 4.957263662221941408e-10, 1.715845812014809233e-10, 5.064689762770501232e-10
1.918000000000000000e+03, 6.575246415430915883e-10, 1.387471202408204043e-10, 3.377446402472166826e-10, 1.660163709098814296e-10, 2.301592363595962032e-10, 2.301592363595962032e-10, 3.377446402472166826e-10, 1.387471202408204043e-10, 6.600033747600497276e-10, 4.255784137631889643e-10, 1.035617926202952865e-10, 3.958449641593153441e-10
1.919000000000000000e+03, 6.784563952883271622e-10, 1.505400718233113978e-10, 3.817305819324623796e-10, 1.608884338594584859e-10, 2.197388130522304216e-10, 2.197388130522304216e-10, 3.817305819324623796e-10, 1.505400718233113978e-10, 6.809056079369677794e-10, 3.523396208974457366e-10, 1.167326811741337816e-10, 5.077226541889226489e-10
1.920000000000000000e+03, 4.838146952903324692e-10, 2.222195670851313590e-10, 4.386612280551174467e-10, 1.562341894517837112e-10, 2.333410491520399036e-10, 2.333410491520399036e-10, 4.386612280551174467e-10, 2.222195670851313590e-10, 4.862925998255607243e-10, 3.616681206780617169e-10, 1.259042755216611612e-10, 5.861984769827708832e-10
1.921000000000000000e+03, 6.400432603875156496e-10, 2.755316742604795377e-10, 4.100940705470295443e-10, 2.215815376776791948e-10, 2.471410804043301119e-10, 2.471410804043301119e-10, 4.100940705470295443e-10, 2.755316742604795377e-10, 6.425508982733575580e-10, 4.207571952586665823e-10, 1.077841541839844155e-10, 6.357730747246165977e-10
1.922000000000000000e+03, 7.228852600876997062e-10, 2.222694451141903268e-10, 4.257602811215967771e-10, 1.580419725468554672e-10, 2.243486910098050952e-10, 2.243486910098050952e-10, 4.257602811215967771e-10, 2.222694451141903268e-10, 7.253673643739606536e-10, 5.620878143662276110e-10, 1.356917293521662603e-10, 3.744370098417280057e-10
1.923000000000000000e+03, 5.647229288455116842e-10, 1.576489003935579351e-10, 4.222074725445814096e-10, 1.970248995038130922e-10, 2.025084591276756404e-10, 2.025084591276756404e-10, 4.222074725445814096e-10, 1.576489003935579351e-10, 5.671694543912131314e-10, 4.429229523838629910e-10, 1.380902296578507518e-10, 6.263978548823313727e-10
