year, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
2.067000000000000000e+03, 6.864664071727233363e+00, 5.030381455762914733e+00, 4.606422525804052093e+00, 7.230004069756393648e+00, 5.439901059699600694e+00, 3.103039226260190464e+00, 5.470158487917265333e+00, 5.843149275730767478e+00, 4.431283366290180048e+00, 8.027715275418772833e+00, 6.531015240210917838e+00, 7.055445104133737821e+00, 8.164594172739695566e+00, 6.065416611719949280e+00
2.068000000000000000e+03, 7.055228970703512736e+00, 4.982991207684491108e+00, 4.718428307040720249e+00, 7.841046553987426115e+00, 5.479565755959487916e+00, 3.118659364946746670e+00, 4.412078799865134293e+00, 6.123660721410117524e+00, 4.396045478696520625e+00, 8.068647970611275255e+00, 6.246207405161360526e+00, 7.377698907701725872e+00, 7.949989769229939718e+00, 5.872416835296297322e+00
2.069000000000000000e+03, 6.763772026889925293e+00, 5.351758822342678634e+00, 4.823708549248411082e+00, 7.632808894454708337e+00, 5.485460439606131722e+00, 3.154788894536947108e+00, 5.182042355722480842e+00, 5.816877926754430383e+00, 4.565633197835622603e+00, 8.248169761637129227e+00, 6.708408140969170930e+00, 7.239789985720606502e+00, 8.172148792907004022e+00, 6.048875284192453350e+00
2.070000000000000000e+03, 6.972609361498286695e+00, 5.366876936981378243e+00, 4.810988746042254682e+00, 7.414762137660762420e+00, 5.470145248294769225e+00, 2.990940982784684010e+00, 5.114391795681278552e+00, 5.779191163208314386e+00, 4.478741925771700494e+00, 8.264384574028207808e+00, 6.487899901667422142e+00, 7.367049235985179578e+00, 7.985914140667596861e+00, 5.921395986924773425e+00
2.071000000000000000e+03, 7.311983723386519252e+00, 5.396732638094030143e+00, 4.720032484617971313e+00, 7.667444835807354586e+00, 5.529637720535444778e+00, 3.031679392801139628e+00, 5.022906167457396265e+00, 6.253710694309194906e+00, 4.685160516833570377e+00, 8.315370964208467441e+00, 6.483294590193024121e+00, 7.407516229757827197e+00, 7.984982124911999435e+00, 5.857523379933753382e+00
2.072000000000000000e+03, 7.168192152006926499e+00, 5.417522357103621289e+00, 4.887921673940478051e+00, 7.923372540863019786e+00, 5.619928877173475890e+00, 3.119175862282584255e+00, 4.857583831083639225e+00, 5.892100939518158498e+00, 4.742631834475393049e+00, 8.044874767590787457e+00, 6.523154449814449585e+00, 6.997724026503350458e+00, 8.190398462005390456e+00, 6.128259939619719709e+00
2.073000000000000000e+03, 7.285203447552583533e+00, 5.427192255166569446e+00, 5.125376150686777876e+00, 7.852047379681471817e+00, 5.571777005495058610e+00, 3.111861399161945485e+00, 5.559707873806720713e+00, 6.017616999788324428e+00, 4.643007790439645177e+00, 8.295884468481668605e+00, 6.596087960747222922e+00, 7.269068132244074221e+00, 8.102757479965848830e+00, 6.210397414724020848e+00
2.074000000000000000e+03, 7.438851562766645387e+00, 5.418272984319468577e+00, 5.071874110117454038e+00, 8.011528417454446327e+00, 5.624514074731536084e+00, 3.180996149369279546e+00, 5.069703337930716813e+00, 5.888768764724710003e+00, 4.620045938576681444e+00, 8.342507877206404743e+00, 6.490571100206861566e+00, 7.484401255587217250e+00, 8.071811339530407636e+00, 6.307888108228787871e+00
2.075000000000000000e+03, 7.541980926364238336e+00, 5.194522084069851608e+00, 4.943586758992896790e+00, 7.809783505945796733e+00, 5.537105310183235929e+00, 3.072263883874777335e+00, 5.019163300887347745e+00, 6.052208044676997467e+00, 4.658297533376910771e+00, 8.644266179231193448e+00, 6.836415731952419250e+00, 7.455041621076855307e+00, 8.933606575986935638e+00, 6.275573889184745013e+00
2.076000000000000000e+03, 7.365802432039228798e+00, 5.406096011369850629e+00, 4.764798153157892457e+00, 7.903716608164441659e+00, 5.529198801796002982e+00, 3.175521540348003491e+00, 5.039976417015910926e+00, 6.055063736835760047e+00, 4.733916816294741814e+00, 8.639337864683009016e+00, 6.585939358921337750e+00, 7.500469767725323145e+00, 8.546560680501125162e+00, 6.205605975598386337e+00
2.077000000000000000e+03, 7.403824002784216596e+00, 5.537863210311623874e+00, 4.842289681027412307e+00, 8.094229068327880583e+00, 5.612742985450079658e+00, 3.150796486017676035e+00, 5.713618331208198065e+00, 6.183717569721657092e+00, 4.763497944551354557e+00, 8.614780173424358978e+00, 6.537574432483582498e+00, 7.304108808621539772e+00, 8.669464877043498774e+00, 6.165890296332427134e+00
2.078000000000000000e+03, 7.667110969466457426e+00, 5.537569382223519909e+00, 4.733911339634312654e+00, 7.897397491058014474e+00, 5.394104660221511693e+00, 3.184908928426118724e+00, 5.347761604697060633e+00, 5.880153561784353222e+00, 4.630015834307257272e+00, 8.460537717123806090e+00, 6.849446397209217885e+00, 7.686960367624898538e+00, 8.608467948784017665e+00, 6.298366261617083239e+00
2.079000000000000000e+03, 7.141152443482727818e+00, 5.524137465763489629e+00, 4.992125471204386322e+00, 7.970323534752849604e+00, 5.788744140055190890e+00, 3.237822870169062117e+00, 5.875890606698408014e+00, 5.866862389373424413e+00, 4.816944972409912040e+00, 8.434074634843879537e+00, 6.939092233778711538e+00, 7.352406971515568657e+00, 8.690811553244891741e+00, 5.936039433941219023e+00
2.080000000000000000e+03, 7.351486688029016392e+00, 5.326958352639479699e+00, 5.094223172899484453e+00, 8.492012763058669478e+00, 5.703001043577256013e+00, 3.146107219048725590e+00, 4.508940675603932746e+00, 6.132227445153041856e+00, 4.674977115443326170e+00, 8.612488295460032361e+00, 6.740950014404836210e+00, 7.495805595677872191e+00, 8.793440259288480831e+00, 6.313501645375244387e+00
2.081000000000000000e+03, 7.859470292444861172e+00, 5.589405461493583971e+00, 5.080004193067936491e+00, 8.624724083753710246e+00, 5.612244096410130112e+00, 3.234911543837697856e+00, 5.659259400299053944e+00, 6.146922048935323346e+00, 4.794119788260386095e+00, 8.624888080612612029e+00, 7.027844065579460953e+00, 7.689753634928364612e+00, 8.766107234723081731e+00, 6.306410097264389947e+00
