year, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM
2.073000000000000000e+03, 4.587655801099950824e-10, 1.572617125638814638e-09, 1.893631626696765663e-10, 1.450144941345801837e-11, 3.780438329365232487e-10, 4.469667744745095421e-10, 3.542443568276638575e-10, 1.540396772017576035e-10, 5.880223289593521339e-10, 1.657420022267658715e-09
2.074000000000000000e+03, 4.663397908297527925e-10, 1.607634256533361650e-09, 1.939994886994919118e-10, 2.713995609090732049e-11, 3.816480589301567134e-10, 4.515483424398003447e-10, 3.566363119468629120e-10, 1.610692128213189296e-10, 6.335117836337240765e-10, 1.652815573537535290e-09
2.075000000000000000e+03, 4.549103458592901303e-10, 1.591069368853803591e-09, 1.975215582127013402e-10, 3.397464669862272222e-11, 3.816704667353465391e-10, 5.227360082732256326e-10, 3.851801566710391253e-10, 1.686808711262201082e-10, 6.456737564156553902e-10, 1.598755794308974508e-09
2.076000000000000000e+03, 4.488873950411595919e-10, 1.686236833656163229e-09, 1.715610958701133208e-10, 2.096895458825089183e-11, 4.196428204143067066e-10, 5.289362648785648651e-10, 3.880521077572720910e-10, 1.473414295089866645e-10, 5.111308400623271192e-10, 1.682248884183118771e-09
2.077000000000000000e+03, 4.529233067123299517e-10, 1.720378590538567302e-09, 1.752799022206160191e-10, 1.763277865427193019e-11, 4.254993255620012639e-10, 5.371574717893070918e-10, 3.957792091457808681e-10, 1.567307473551761130e-10, 5.339547502584795342e-10, 1.700644109042318555e-09
2.078000000000000000e+03, 4.565707195425297352e-10, 1.707266433089486561e-09, 1.781441251676536012e-10, 2.513744620702751880e-11, 4.331515999423990109e-10, 5.437193403478550040e-10, 3.946282132599985128e-10, 1.675751152600381670e-10, 5.504542993710750612e-10, 1.710607123020120315e-09
2.079000000000000000e+03, 4.590818523258586410e-10, 1.732033720607997077e-09, 1.806861755044824054e-10, 4.064504958831424676e-11, 4.399866069739129563e-10, 5.456489975531267125e-10, 3.935397516599334659e-10, 1.748396337701140703e-10, 5.663280660592833679e-10, 1.705979351411403944e-09
2.080000000000000000e+03, 3.930578590712173258e-10, 1.717524022925717767e-09, 1.827706931207629268e-10, 4.955555807372702420e-11, 4.404601276371845403e-10, 4.470367276706217075e-10, 3.438083274232126367e-10, 1.804732304856572685e-10, 5.838172646133098895e-10, 1.748990004259718120e-09
2.081000000000000000e+03, 3.493972421483576871e-10, 1.679096410977265147e-09, 1.551929201407216346e-10, 3.855788543103177234e-11, 3.775000802370858701e-10, 4.378103826068139966e-10, 3.378113007326634357e-10, 1.287111555839237405e-10, 4.902716824657354931e-10, 1.608153437512871276e-09
2.082000000000000000e+03, 3.404780593260533436e-10, 1.722657526211725259e-09, 1.524401684634446231e-10, 3.789892283294563266e-11, 3.752223326010261242e-10, 4.318633382252003320e-10, 3.383650636469561456e-10, 1.327570244925069847e-10, 4.933204615596145001e-10, 1.533437897446749031e-09
2.083000000000000000e+03, 3.358611837589004543e-10, 1.738663860233387874e-09, 1.496815723570445723e-10, 4.173683434654480122e-11, 3.731763467271687846e-10, 4.244365082766026413e-10, 3.365444054276666312e-10, 1.374975780174772418e-10, 5.176124695346735539e-10, 1.534602837900790647e-09
2.084000000000000000e+03, 3.325345260572343614e-10, 1.716278402318227742e-09, 1.465865698623563240e-10, 4.682781763535922642e-11, 3.673160497039928093e-10, 4.277847097597623869e-10, 3.333832532363925807e-10, 1.380380223808714141e-10, 5.239224933634015846e-10, 1.504667694446671907e-09
2.085000000000000000e+03, 3.719021797676326306e-10, 1.728726791608327648e-09, 1.431801292086545327e-10, 5.292277027407103138e-11, 3.655306582887841406e-10, 4.361805834344096865e-10, 3.528071504709850252e-10, 1.394568455183628996e-10, 5.514850044065701908e-10, 1.645708732799871155e-09
2.086000000000000000e+03, 3.990702072585571380e-10, 1.675048832953206716e-09, 1.788754537694891455e-10, 4.448481038753725986e-11, 3.696797597086396658e-10, 4.275426775273392907e-10, 3.584093569646182445e-10, 1.150333567228279277e-10, 5.143864845927936415e-10, 1.786004574278137104e-09
2.087000000000000000e+03, 4.050838551711078101e-10, 1.717115871683046368e-09, 1.802117083449982872e-10, 4.141477178825479531e-11, 3.679523717267754767e-10, 4.273026197146972907e-10, 3.594036637155575737e-10, 1.214004497295862343e-10, 5.323169888445181337e-10, 1.794297555519123729e-09
2.088000000000000000e+03, 4.087261408180322679e-10, 1.754047430881273349e-09, 1.807424267449158259e-10, 4.349420723839312478e-11, 3.663378789428902311e-10, 4.311540050855226789e-10, 3.575701707099189401e-10, 1.328001246154677835e-10, 5.449745751388952482e-10, 1.746708076095188026e-09
2.089000000000000000e+03, 4.120669008697557528e-10, 1.755503733514371190e-09, 1.814083858445301978e-10, 5.497818679080008490e-11, 3.649250080461731320e-10, 4.301241137258385276e-10, 3.554313045348684878e-10, 1.451395437020892715e-10, 5.527540333785388114e-10, 1.751728531434077212e-09
2.090000000000000000e+03, 3.197782266309476802e-10, 1.785988927416590397e-09, 1.826240923162453091e-10, 6.255683068008292320e-11, 3.638542059634310177e-10, 3.162279461070353035e-10, 2.775389112610518458e-10, 1.616196666533031711e-10, 5.696868543165650505e-10, 1.645763265052860644e-09
2.091000000000000000e+03, 2.553481135103922470e-10, 1.643829887472411112e-09, 9.742211984865137774e-11, 3.773155233847631551e-11, 2.732410060578759183e-10, 3.075411810416073740e-10, 2.724105669113795046e-10, 7.798749650847825822e-11, 3.606229093959659665e-10, 1.434910221670405953e-09
2.092000000000000000e+03, 2.396121048787725781e-10, 1.653219849476523876e-09, 9.482680844064389724e-11, 2.440118705464086095e-11, 2.658104723086322005e-10, 3.101107175337532791e-10, 2.699863572459219854e-10, 8.173756540925048076e-11, 3.527447281289367817e-10, 1.557633001618148139e-09
2.093000000000000000e+03, 2.317591475781387751e-10, 1.651862031870551772e-09, 9.311500509455050775e-11, 1.898600814101072611e-11, 2.618193934779071004e-10, 2.989145510847222183e-10, 2.650220400631183473e-10, 8.366729979520893660e-11, 3.449262992557230746e-10, 1.657331230724752288e-09
2.094000000000000000e+03, 2.242608448635902134e-10, 1.596109391332196870e-09, 9.099717914994653469e-11, 1.640454789652738069e-11, 2.592489648923858186e-10, 2.945475692962096218e-10, 2.592124533733092632e-10, 8.317137379468893847e-11, 3.375948501301497502e-10, 1.616354030624385570e-09
2.095000000000000000e+03, 1.643231986627813921e-10, 1.553877806191102505e-09, 8.884828221562786435e-11, 1.503278959522625342e-11, 2.561460512556596237e-10, 2.631296128414675299e-10, 2.182131342542018578e-10, 8.283892652804847229e-11, 3.259459510189284692e-10, 1.622462808621141313e-09
2.096000000000000000e+03, 1.243750397034372882e-10, 1.545373707602724492e-09, 5.456822572371332820e-11, 1.311184415714895728e-11, 2.036686655455046803e-10, 2.593966505024251829e-10, 2.098905957650938828e-10, 4.433432871691434248e-11, 1.810362506457152510e-10, 1.585225916049153305e-09
2.097000000000000000e+03, 1.125293009106242093e-10, 1.532245802291136299e-09, 4.899594459151623891e-11, 1.171755565331257110e-11, 1.975280207857518236e-10, 2.495496195713400598e-10, 2.037511222792144884e-10, 4.395333547035828368e-11, 1.670160817656957751e-10, 1.578926840729151471e-09
2.098000000000000000e+03, 1.048247834468616379e-10, 1.501037118088878409e-09, 4.353100331210345343e-11, 1.066449481869994152e-11, 1.934870761903988704e-10, 2.623495423280572828e-10, 2.031459117529417625e-10, 4.340630394907621616e-11, 1.503910882650221978e-10, 1.512143845071422680e-09
2.099000000000000000e+03, 9.889258647168398960e-11, 1.537925321608710699e-09, 3.824278087774964412e-11, 9.542640983773444695e-12, 1.893239023705110912e-10, 2.592234475891502830e-10, 1.960174887901613684e-10, 4.321516494178570498e-11, 1.334954544295659335e-10, 1.515075746698616496e-09
2.100000000000000000e+03, 7.574267964689016514e-11, 1.550628339022128688e-09, 3.270253741457190955e-11, 8.907455179968163217e-12, 1.869033258529950799e-10, 1.555429015185744679e-10, 1.363680072442853919e-10, 4.358413528394998095e-11, 1.145791468723829616e-10, 1.402730794315195265e-09
