year, NorESM2-MM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR
2.067000000000000000e+03, 2.920343904011472218e-10, 7.521720460717937492e-10, 2.563044655517999553e-10, 7.243139504209306778e-10, 7.243139504209306778e-10, 5.144993085160114689e-10, 7.562839918537796728e-10, 2.563044655517999553e-10, 2.920343904011472218e-10, 1.825673812795968469e-10, 1.699448806868414693e-10, 5.950739146214022880e-10
2.068000000000000000e+03, 2.887123804541460748e-10, 8.281773205142524812e-10, 2.417307492572612237e-10, 6.562677584235369567e-10, 6.562677584235369567e-10, 5.261317206213209305e-10, 8.318762060514436238e-10, 2.417307492572612237e-10, 2.887123804541460748e-10, 2.412446951832639469e-10, 1.747058863038137715e-10, 5.313755214413539230e-10
2.069000000000000000e+03, 2.980618443176097037e-10, 7.701181174412460472e-10, 2.433908880668172923e-10, 6.212700066456048852e-10, 6.212700066456048852e-10, 6.198849373968386414e-10, 7.740257116454788370e-10, 2.433908880668172923e-10, 2.980618443176097037e-10, 2.259262959391162980e-10, 1.078179266047894089e-10, 5.931638634045466475e-10
2.070000000000000000e+03, 2.504493395317103130e-10, 1.007289860111179216e-09, 2.915605514189246784e-10, 7.888887871985853921e-10, 7.888887871985853921e-10, 6.198115762214477094e-10, 1.011543454603797432e-09, 2.915605514189246784e-10, 2.504493395317103130e-10, 2.967501247540548770e-10, 1.684111665433015363e-10, 6.606129039778073935e-10
2.071000000000000000e+03, 1.437061115005565842e-10, 9.561843628360266613e-10, 2.479075228144893139e-10, 8.440735955961746587e-10, 8.440735955961746587e-10, 4.016203844566022186e-10, 9.602201774265844469e-10, 2.479075228144893139e-10, 1.437061115005565842e-10, 1.727618998060372273e-10, 2.032728620679995687e-10, 5.602664789668387018e-10
2.072000000000000000e+03, 1.793882550556085039e-10, 9.542717785538838958e-10, 2.101341227797995944e-10, 7.838349013872501109e-10, 7.838349013872501109e-10, 5.637185616498734491e-10, 9.582365805164473796e-10, 2.101341227797995944e-10, 1.793882550556085039e-10, 2.635384952899030417e-10, 1.416847225495904773e-10, 6.303737874151408162e-10
2.073000000000000000e+03, 1.865582385560499660e-10, 1.054608489490588714e-09, 2.509274246347501671e-10, 9.066466506473405192e-10, 9.066466506473405192e-10, 5.515156839230094815e-10, 1.058708872396749713e-09, 2.509274246347501671e-10, 1.865582385560499660e-10, 2.508339350976838828e-10, 1.177192760860283643e-10, 5.910307110454504503e-10
2.074000000000000000e+03, 2.444815864651248376e-10, 1.316564065026128014e-09, 2.714752208079732550e-10, 6.129003374519170530e-10, 6.129003374519170530e-10, 5.074441592684946951e-10, 1.320584200542854129e-09, 2.714752208079732550e-10, 2.444815864651248376e-10, 2.122715033044765006e-10, 9.884606985682874210e-11, 7.590219829183541658e-10
2.075000000000000000e+03, 1.666413275756245478e-10, 1.032857613890781315e-09, 2.619029396466148576e-10, 7.770679726879927182e-10, 7.770679726879927182e-10, 5.518917501624126567e-10, 1.037049124043803802e-09, 2.619029396466148576e-10, 1.666413275756245478e-10, 1.663742184035155646e-10, 1.602575156145032402e-10, 6.003109869822484977e-10
2.076000000000000000e+03, 2.248067272201172600e-10, 6.322170788085862600e-10, 3.288063903273886999e-10, 7.416268055033960513e-10, 7.416268055033960513e-10, 4.478684918798689818e-10, 6.366123004598994400e-10, 3.288063903273886999e-10, 2.248067272201172600e-10, 2.080136983699797576e-10, 1.297342045804997903e-10, 6.763958982329902140e-10
2.077000000000000000e+03, 2.395485510214994707e-10, 9.183685545559783170e-10, 2.590845128133880146e-10, 6.860050900871436204e-10, 6.860050900871436204e-10, 4.489316897375587017e-10, 9.229651173354555609e-10, 2.590845128133880146e-10, 2.395485510214994707e-10, 3.324902591257716049e-10, 1.187709115780625144e-10, 6.041311380968129958e-10
2.078000000000000000e+03, 2.442993500003077357e-10, 8.289361492805564017e-10, 2.502887107724775181e-10, 6.881029502459568213e-10, 6.881029502459568213e-10, 5.701404986047972650e-10, 8.336049441907931955e-10, 2.502887107724775181e-10, 2.442993500003077357e-10, 2.669425872094905584e-10, 1.403502623083302240e-10, 6.606380197769201165e-10
2.079000000000000000e+03, 2.190490194035036576e-10, 8.302550971174980504e-10, 2.910254285491121652e-10, 6.374423673678374999e-10, 6.374423673678374999e-10, 6.442159982470858310e-10, 8.350330568623058719e-10, 2.910254285491121652e-10, 2.190490194035036576e-10, 2.170384406162998967e-10, 1.652683714039504063e-10, 6.230853191250441269e-10
2.080000000000000000e+03, 1.836443607286762569e-10, 8.789549391098868997e-10, 2.373114481695010316e-10, 7.576311637988721441e-10, 7.576311637988721441e-10, 4.874326826697144538e-10, 8.837692429023488451e-10, 2.373114481695010316e-10, 1.836443607286762569e-10, 2.780071586365545453e-10, 1.865426167897956104e-10, 5.176269034491591527e-10
2.081000000000000000e+03, 2.681960043249747661e-10, 8.213191733365836894e-10, 2.387781440746251229e-10, 8.476869049346073005e-10, 8.476869049346073005e-10, 4.326803538777064999e-10, 8.262129281197612960e-10, 2.387781440746251229e-10, 2.681960043249747661e-10, 3.187052494723694710e-10, 2.136771616893746118e-10, 5.323443355642928124e-10
2.082000000000000000e+03, 2.326541504284377303e-10, 7.967387816205277027e-10, 2.930464324684638078e-10, 9.499313326488442621e-10, 9.499313326488442621e-10, 5.533972252354429161e-10, 8.015464225850515637e-10, 2.930464324684638078e-10, 2.326541504284377303e-10, 3.294892075183029760e-10, 1.786483218306287198e-10, 6.964601196998952641e-10
2.083000000000000000e+03, 2.470647956238102262e-10, 1.074248748885899696e-09, 2.853097711256751775e-10, 6.900198464036760690e-10, 6.900198464036760690e-10, 6.641273203759740764e-10, 1.079137034839578230e-09, 2.853097711256751775e-10, 2.470647956238102262e-10, 2.867615934599629648e-10, 1.652463354114199738e-10, 5.233968943475009022e-10
2.084000000000000000e+03, 3.080309794829458831e-10, 9.736430313764322765e-10, 2.200121362990196556e-10, 6.981512056908100708e-10, 6.981512056908100708e-10, 5.557219595890794856e-10, 9.786783388548859260e-10, 2.200121362990196556e-10, 3.080309794829458831e-10, 3.148846748290309632e-10, 2.176671612570772062e-10, 4.647400702635328584e-10
