year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-ESM2, NorESM2-LM, IPSL-CM6A-LR, TaiESM1
2.074000000000000000e+03, 1.300859057569809942e-10, 2.172848163672838838e-12, 1.821299638182966735e-10, 6.913497796702446021e-10, 1.206133138167156700e-10, 2.127346208428614784e-10, 1.854388963785546230e-10, 7.591608802126741159e-10, 6.757170593501297682e-11, 1.358888445070167766e-10
2.075000000000000000e+03, 1.313156612357504179e-10, 2.621428883721567636e-12, 1.832864368154511709e-10, 6.293685949196643387e-10, 1.167968185684482735e-10, 2.290391202611786086e-10, 2.134704506297663357e-10, 7.440766530521222831e-10, 6.697107265216996578e-11, 1.651293136893236871e-10
2.076000000000000000e+03, 1.422628687921684965e-10, 5.734237794145699041e-12, 2.227027207735580708e-10, 7.091847159970579082e-10, 1.143475815668560339e-10, 2.762066296099738479e-10, 2.194758289671061714e-10, 8.156462482949042877e-10, 1.015995937141966922e-10, 1.643234965334793920e-10
2.077000000000000000e+03, 1.453000662374982922e-10, 7.802993376996537718e-12, 2.246696357307256281e-10, 7.340203234154942963e-10, 1.139034287747583033e-10, 2.850431738039686013e-10, 2.200100152256742714e-10, 9.007753796157046687e-10, 1.041468800343694375e-10, 1.637877303730489490e-10
2.078000000000000000e+03, 1.450123308818554282e-10, 9.109291497976859514e-12, 2.259487186107247934e-10, 8.235909445252660722e-10, 1.139944637246631528e-10, 2.928951934695328949e-10, 2.197128988815278415e-10, 8.842802658467956626e-10, 1.065027013967052453e-10, 1.684639208877754635e-10
2.079000000000000000e+03, 1.482926582545121868e-10, 1.201056925509252266e-11, 2.266519488841257428e-10, 8.588252810265825138e-10, 1.147328107209698280e-10, 3.006587063011561837e-10, 2.217106401308149534e-10, 8.460833498304119179e-10, 1.093488311297793063e-10, 1.681272888139596332e-10
2.080000000000000000e+03, 1.531436211205502945e-10, 1.448669002366850372e-11, 2.286776962885388152e-10, 8.557804710442388445e-10, 1.007112056279812632e-10, 3.087022482881329954e-10, 2.078416818578593044e-10, 8.327635982768837671e-10, 1.116983623042080107e-10, 1.508572192542776858e-10
2.081000000000000000e+03, 1.156173961359842080e-10, 8.616651425297390876e-12, 2.156606833730808628e-10, 7.897382313164571991e-10, 9.048621746855314564e-11, 2.536539347713276268e-10, 2.068854559215725857e-10, 8.814537983677950792e-10, 1.075570750697527931e-10, 1.498665656819707843e-10
2.082000000000000000e+03, 1.175620618611291128e-10, 5.519873636173939071e-12, 2.136425358131081197e-10, 7.282215597864830892e-10, 8.987431159255373616e-11, 2.525838370638701631e-10, 2.053017264470642434e-10, 8.414732464467435144e-10, 1.092190803227791720e-10, 1.491702109065511954e-10
2.083000000000000000e+03, 1.179905559906799579e-10, 4.510336805306217939e-12, 2.116734213399572036e-10, 7.669778250480519577e-10, 8.859208086552086034e-11, 2.532554405690137863e-10, 2.054522032991855511e-10, 8.153043748579593534e-10, 1.108287341087146672e-10, 1.483449714817833429e-10
2.084000000000000000e+03, 1.204313818027507188e-10, 3.943810128932377460e-12, 2.111398739772510329e-10, 8.170159945171910987e-10, 8.767205643415966808e-11, 2.546812992024825952e-10, 2.056121224817058882e-10, 8.329419840860604167e-10, 1.117882415978367050e-10, 1.481913021157542813e-10
2.085000000000000000e+03, 1.216659542787643728e-10, 3.834966090734932860e-12, 2.132631511251051080e-10, 7.821570381046388382e-10, 8.245609565364024611e-11, 2.520120562351245787e-10, 1.858602136892472165e-10, 7.359269730872452621e-10, 1.126817817095837371e-10, 1.285961005211433261e-10
2.086000000000000000e+03, 1.017522271610916249e-10, 3.096831171909710296e-12, 1.867277747633057826e-10, 8.164027650682954495e-10, 7.884571050976408516e-11, 1.960733756246940278e-10, 1.850651102389577400e-10, 6.614572465187573089e-10, 8.483074833841194284e-11, 1.245953014185495737e-10
2.087000000000000000e+03, 1.046464310000382924e-10, 2.665076544973368232e-12, 1.852777775825070061e-10, 8.188111916827508033e-10, 7.771143692864201540e-11, 1.889564603754773242e-10, 1.835888657519786958e-10, 7.097822403788914797e-10, 8.315297297280974181e-11, 1.231074709009517868e-10
2.088000000000000000e+03, 9.799451998402799616e-11, 2.638128486526791438e-12, 1.822010801088711904e-10, 8.565494553760948877e-10, 7.684143781369564165e-11, 1.839004647905888977e-10, 1.814974812623451716e-10, 7.348093464913513753e-10, 8.174611312506135991e-11, 1.212048722288583092e-10
2.089000000000000000e+03, 9.774812618017110672e-11, 3.010070482111618056e-12, 1.795778263350519504e-10, 8.211266868308251692e-10, 7.507929792702952176e-11, 1.763382285488799283e-10, 1.795036097427568109e-10, 7.642468510333553300e-10, 7.996446121634183615e-11, 1.199116231758170478e-10
2.090000000000000000e+03, 9.949063021578099600e-11, 3.044010349211534784e-12, 1.782383851056265324e-10, 7.931130347460961250e-10, 6.151482506107661513e-11, 1.709466275474847780e-10, 1.588232307467860152e-10, 7.976891443672061896e-10, 7.843883421067993094e-11, 1.104260115000722636e-10
2.091000000000000000e+03, 6.726344040374939427e-11, 2.381828895327227569e-12, 1.487402455711777522e-10, 7.450952851322148202e-10, 5.262707633089077466e-11, 8.384467597086671443e-11, 1.566895099435511711e-10, 7.777322722432983544e-10, 4.650922099103232069e-11, 1.060855150308026886e-10
2.092000000000000000e+03, 6.587476849604277842e-11, 2.010342807633230463e-12, 1.451472948543722230e-10, 7.117144551467916881e-10, 5.014884377143756409e-11, 7.620397807978752983e-11, 1.525319501634250559e-10, 7.228430883133304139e-10, 4.388035311167232128e-11, 1.017847746948301629e-10
2.093000000000000000e+03, 6.562454813813320761e-11, 1.869168397022587706e-12, 1.422642527864883999e-10, 7.099296471958596261e-10, 4.898207317872559617e-11, 6.912519343369148859e-11, 1.511582874359660827e-10, 6.758166448171191498e-10, 4.152737272638357483e-11, 1.009429705161448287e-10
2.094000000000000000e+03, 6.452847965759010783e-11, 1.715695044033492544e-12, 1.398310539400165563e-10, 7.136084347787435969e-10, 4.817513038353356309e-11, 6.187498929488217849e-11, 1.486484415848724212e-10, 7.313541655509929744e-10, 3.904649362889260012e-11, 1.012073311776417113e-10
2.095000000000000000e+03, 6.328906872601027179e-11, 1.712845643411915801e-12, 1.377273090776700007e-10, 7.437590434821447824e-10, 4.977375295795852734e-11, 5.511054237592932905e-11, 1.678310803273301351e-10, 7.098981378642279154e-10, 3.667851601893144278e-11, 1.176069661465884130e-10
2.096000000000000000e+03, 6.312972542305857320e-11, 2.006986529770775620e-12, 1.327120545899798345e-10, 7.202600455790215137e-10, 4.964944889971051871e-11, 5.075751417062315944e-11, 1.626842754421552244e-10, 7.119687509275349791e-10, 3.458141757755839218e-11, 1.129810510452403556e-10
2.097000000000000000e+03, 6.188851379349701034e-11, 2.237171758819650156e-12, 1.313429198692515296e-10, 7.179380239197518494e-10, 4.854799624214901695e-11, 4.674673352272334116e-11, 1.669644400024756629e-10, 6.708703272087333089e-10, 3.326116080059849230e-11, 1.101964286360019808e-10
2.098000000000000000e+03, 6.152914258424277395e-11, 2.124883075131701338e-12, 1.302769072951297122e-10, 7.068592391396020918e-10, 4.772787777937652853e-11, 4.067915664776700473e-11, 1.637616165658123615e-10, 6.897754091673741559e-10, 3.163203049859570980e-11, 1.114626297310112579e-10
2.099000000000000000e+03, 6.162586098297089077e-11, 2.181644705904866232e-12, 1.275956487442734879e-10, 7.011708330290441498e-10, 4.775728279798983504e-11, 3.722000488727899104e-11, 1.540441197825335632e-10, 6.513087569691426710e-10, 3.060051700735447337e-11, 1.058325789974430236e-10
2.100000000000000000e+03, 5.226014141843247262e-11, 2.184134735126177649e-12, 1.255557649986091041e-10, 6.652085657872907984e-10, 3.512076889682560895e-11, 3.315578527196317049e-11, 1.070016260084636866e-10, 6.501913437781675883e-10, 2.870968431390218440e-11, 7.464546710473499442e-11
