year, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1
2.069000000000000000e+03, 6.540885196683373692e+01, 1.366903680698341539e+01, 1.068091151498215474e+01, 9.076088945708376343e+01, 1.830111346201590905e+01, 1.036715681755302576e+01, 8.723060714957043160e+00, 1.915672449515349740e+01, 7.223254998130212812e+01, 1.043404046149611730e+01, 7.836107275595128385e+01, 1.030160137658488040e+01, 1.406879661514230495e+00
2.070000000000000000e+03, 6.546090289303302256e+01, 1.370866385880618132e+01, 1.067992677510150301e+01, 9.098482276241314537e+01, 1.834218866492728850e+01, 1.055101150568116175e+01, 8.681290167403162172e+00, 1.919867407577700291e+01, 7.234486341674013943e+01, 1.060916624893528493e+01, 7.832769985562264026e+01, 1.026553708555599975e+01, 1.408915601332183520e+00
2.071000000000000000e+03, 6.554215790040706224e+01, 1.376117548745549080e+01, 1.051093048242728933e+01, 9.128312624062266423e+01, 1.846724089114929868e+01, 1.071934950328052061e+01, 8.637958669097828945e+00, 1.919013962880244506e+01, 7.244770308523457913e+01, 1.067753212621888181e+01, 7.846058716889187679e+01, 1.027109358689501306e+01, 1.401331596136001778e+00
2.072000000000000000e+03, 6.565051032939059894e+01, 1.377722714163533801e+01, 1.041865983836424725e+01, 9.153221434937542256e+01, 1.849573932568512902e+01, 1.071800627198193645e+01, 8.617860165113185644e+00, 1.952787090985648533e+01, 7.251119455985427464e+01, 1.063115695908033409e+01, 7.862529731869020111e+01, 1.031700534636240718e+01, 1.409264097213214217e+00
2.073000000000000000e+03, 6.573845771589508047e+01, 1.373042085152261116e+01, 1.033757076981581946e+01, 9.181726262907270097e+01, 1.853325607404110187e+01, 1.060378292611301454e+01, 8.580382466023991128e+00, 1.964814985020860405e+01, 7.255269150445577964e+01, 1.063719824169481676e+01, 7.874316753116841028e+01, 1.030447842822108839e+01, 1.410928012201434267e+00
2.074000000000000000e+03, 6.577988961965399994e+01, 1.365894409484572414e+01, 1.052561064189664108e+01, 9.213218907042863748e+01, 1.860478205888081149e+01, 1.060324659109241274e+01, 8.515345689096175619e+00, 1.969485715718846208e+01, 7.268141884386083973e+01, 1.061506299713992796e+01, 7.869316952156646039e+01, 1.034143885185549827e+01, 1.395885019753412726e+00
2.075000000000000000e+03, 6.585915492276417638e+01, 1.381925521460055251e+01, 1.046592925677630248e+01, 9.245626097655375020e+01, 1.868302548452252410e+01, 1.069071305070924183e+01, 8.396732604422215474e+00, 1.983307798332407401e+01, 7.269008043745992609e+01, 1.061093267054170219e+01, 7.871993311096022694e+01, 1.032072490115320740e+01, 1.355945368106805216e+00
2.076000000000000000e+03, 6.594788877482140776e+01, 1.386344332240106247e+01, 1.039656482333580811e+01, 9.272528542844622734e+01, 1.874254970212942695e+01, 1.083430936807094902e+01, 8.406984544932385006e+00, 1.952394765521131603e+01, 7.277351860761363866e+01, 1.055292623532359464e+01, 7.894811808666548814e+01, 1.032768411083145210e+01, 1.363123080139329479e+00
2.077000000000000000e+03, 6.596994680430702829e+01, 1.390385595737743962e+01, 1.036446337028163889e+01, 9.301446240397747545e+01, 1.877532753516256037e+01, 1.087495272374613542e+01, 8.434518939569292328e+00, 1.918448703184804671e+01, 7.286282083503684248e+01, 1.050663490733753846e+01, 7.889724135061786114e+01, 1.032559007050106104e+01, 1.363870404834772732e+00
2.078000000000000000e+03, 6.603119812427016200e+01, 1.400536561899523846e+01, 1.042356124520259897e+01, 9.331109877464979263e+01, 1.878778050418317491e+01, 1.089823222552272952e+01, 8.587580790464469871e+00, 1.917102581921388094e+01, 7.296086095208657696e+01, 1.038907593150209507e+01, 7.895746044595911428e+01, 1.031612318087204727e+01, 1.365057220337063670e+00
