year, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM
2.081000000000000000e+03, 1.887307669561842927e-01, 1.421137300395497590e-03, 5.874938187822895894e-06, 1.050949224887922862e+00, 6.100102756748912490e-04, 3.791416396965713864e-01, 6.100356200429752906e-01, 3.724277835865261732e-01, 8.034045655866374203e-01
2.082000000000000000e+03, 1.881991787611595190e-01, 1.404345439136770769e-03, 6.701361544853970317e-06, 1.050118417595106157e+00, 6.550307041398642765e-04, 3.767661731037487693e-01, 6.062723611562625958e-01, 3.695152304383627073e-01, 8.009589160505956595e-01
2.083000000000000000e+03, 1.876812997430695740e-01, 1.381926823308710387e-03, 7.187617785114960206e-06, 1.048529805263431092e+00, 6.939228825584473591e-04, 3.744436027077962525e-01, 6.024117831465973794e-01, 3.671097908592749204e-01, 7.957716372550621697e-01
2.084000000000000000e+03, 1.867314777739326193e-01, 1.359932762809290454e-03, 7.615285213831385072e-06, 1.046893167031194505e+00, 7.263771746824779565e-04, 3.721797067289563388e-01, 5.985421066009496416e-01, 3.636580197400467451e-01, 7.907682607390368323e-01
2.085000000000000000e+03, 1.857034941295482022e-01, 1.338348017742431928e-03, 7.682010610740280161e-06, 1.044857651151873679e+00, 7.483235683022825772e-04, 3.699598051814874666e-01, 5.945080839384523363e-01, 3.594786259235183690e-01, 7.864041482723580501e-01
2.086000000000000000e+03, 1.844521411393948152e-01, 1.316168522380579487e-03, 6.851494210039485634e-06, 1.042698856128812412e+00, 6.978136635867298720e-04, 3.678389637976729465e-01, 5.904240418285462422e-01, 3.562195666761669433e-01, 7.817543568176392732e-01
2.087000000000000000e+03, 1.828994472560499518e-01, 1.294364803864773679e-03, 6.228426206377978218e-06, 1.040375767891564607e+00, 6.500264840428962056e-04, 3.657442513818967011e-01, 5.864066417670723563e-01, 3.531968727434137145e-01, 7.771074769895622847e-01
2.088000000000000000e+03, 1.816536020913535054e-01, 1.272679172028916370e-03, 5.856086420394389559e-06, 1.037384624508318920e+00, 6.051331014106976509e-04, 3.636886313951714911e-01, 5.823185921281901489e-01, 3.505388091406388407e-01, 7.724984962461017846e-01
2.089000000000000000e+03, 1.800425679324099415e-01, 1.251432444854902720e-03, 5.555286016852451500e-06, 1.034555451135336757e+00, 5.652809126921928004e-04, 3.616561345755630597e-01, 5.781602715084325217e-01, 3.477620565176818834e-01, 7.679410331022122893e-01
2.090000000000000000e+03, 1.784491794117020746e-01, 1.230662131445214944e-03, 5.284252078031387203e-06, 1.031639756248161843e+00, 5.301168977339300184e-04, 3.596015289460247621e-01, 5.739817933476650813e-01, 3.447041615998197028e-01, 7.632396228062482413e-01
