year, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5
2.084000000000000000e+03, 5.681098856323650859e-01, 3.430805691584818545e-02, 3.743884794773183478e-01, 1.275397825528456597e+00, 1.021750855087848242e+00, 7.657285679838664533e-04, 1.555152021041577605e-02, 1.933000295829906678e-01, 3.295786671515520960e-01
2.085000000000000000e+03, 5.643230274008891323e-01, 3.450906827582290309e-02, 3.754210571332887714e-01, 1.270784000119090651e+00, 1.020714153415004821e+00, 7.861336867595024053e-04, 1.586018028860235185e-02, 1.929064474623232717e-01, 3.297975985887339756e-01
2.086000000000000000e+03, 5.823363939913047682e-01, 3.461619421598315094e-02, 3.758494942724202037e-01, 1.265019985189160145e+00, 9.999566873723574334e-01, 7.590494964837682986e-04, 1.693693420048133016e-02, 1.926261779494173043e-01, 3.252723154452309418e-01
2.087000000000000000e+03, 5.881354064546949756e-01, 3.461110357849677549e-02, 3.771905936178086560e-01, 1.263510223835183188e+00, 9.718944593509982743e-01, 7.354923039005919995e-04, 1.785329329072443683e-02, 1.919151522108798746e-01, 3.210719775582627222e-01
2.088000000000000000e+03, 5.722072065584805634e-01, 3.473072533542002210e-02, 3.795881984421358157e-01, 1.265789972687832110e+00, 9.904646466943236582e-01, 7.215737027001181301e-04, 1.861017429160466766e-02, 1.916352664008943163e-01, 3.171583862683664545e-01
2.089000000000000000e+03, 5.607820962587088953e-01, 3.495051373108472303e-02, 3.812662891395720011e-01, 1.264866323390465563e+00, 1.012488181598087067e+00, 7.098492156587864286e-04, 1.923598992782938819e-02, 1.908495479513950266e-01, 3.134752393796215730e-01
2.090000000000000000e+03, 5.752052207490175872e-01, 3.521925355278365116e-02, 3.818249827366548832e-01, 1.263307678200929818e+00, 1.023716034976564160e+00, 7.092060213398598779e-04, 1.971330225978507739e-02, 1.904454765258780102e-01, 3.099738192964924810e-01
2.091000000000000000e+03, 5.736268362628752504e-01, 3.531270756762039387e-02, 3.826418796384218890e-01, 1.265714048288814508e+00, 1.026300503959457044e+00, 7.314365652892894669e-04, 1.863100480647067111e-02, 1.903086276092646190e-01, 3.088778663751260978e-01
2.092000000000000000e+03, 5.757927791981861665e-01, 3.543940176362071759e-02, 3.843333593229575351e-01, 1.267988049166047126e+00, 1.006470683626777607e+00, 7.540052335061292292e-04, 1.761466526825841358e-02, 1.904704584259636901e-01, 3.076149060426182635e-01
2.093000000000000000e+03, 5.931393992939208992e-01, 3.559745222403172538e-02, 3.865887468729805043e-01, 1.265509297629146657e+00, 1.013167440086210069e+00, 7.654722445076091522e-04, 1.664281239363562398e-02, 1.910877133219139601e-01, 3.063360157947330742e-01
2.094000000000000000e+03, 5.778411479623745128e-01, 3.584136489221372707e-02, 3.893091817165751367e-01, 1.265168053990798125e+00, 1.038282908575506980e+00, 7.749746697870157778e-04, 1.573429356470756532e-02, 1.911256347183187543e-01, 3.051807574086667918e-01
2.095000000000000000e+03, 5.847276667684951912e-01, 3.605866554462608398e-02, 3.920957905687235123e-01, 1.266818326247103554e+00, 1.048790587509438099e+00, 7.746377639084328246e-04, 1.482576729520753908e-02, 1.916918383316308649e-01, 3.039816925669846515e-01
2.096000000000000000e+03, 5.856152001404825169e-01, 3.647567827768273541e-02, 3.936547178925208779e-01, 1.267924896282290437e+00, 1.049358925194010750e+00, 7.523563153087249079e-04, 1.454914118833984700e-02, 1.918942939442943585e-01, 3.027518752403516311e-01
2.097000000000000000e+03, 5.841986882564651484e-01, 3.686476315182850294e-02, 3.943187352957010505e-01, 1.264860738813029517e+00, 1.049444051196790406e+00, 7.350983104867724700e-04, 1.434792865845006295e-02, 1.918721520738756459e-01, 3.016612019466469174e-01
2.098000000000000000e+03, 5.880766093045914911e-01, 3.728147230702636566e-02, 3.952789230578794832e-01, 1.259658322636761918e+00, 1.045135084672025538e+00, 7.227609312048153233e-04, 1.418421301477983815e-02, 1.912611507461964566e-01, 3.005563790392531409e-01
2.099000000000000000e+03, 5.834832919886563385e-01, 3.754938064333940284e-02, 3.966826013033320497e-01, 1.259321934520530650e+00, 1.044575142100327758e+00, 7.126710586199166541e-04, 1.407126917257581038e-02, 1.913493660365030158e-01, 2.994504334804259926e-01
2.100000000000000000e+03, 5.840333852207270082e-01, 3.784233136334481246e-02, 3.776273864283569703e-01, 1.264392897222613721e+00, 1.021475260018546605e+00, 7.219363789321159991e-04, 1.416429065536372982e-02, 1.912185064432950221e-01, 2.983428109134608208e-01
