year, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM
1.900000000000000000e+03, 2.824960766529770240e+01, 6.173353467195885713e+01, 3.533940108712153716e+01, 7.785672085768661077e+01, 1.820254512255730504e+02, 3.835952552725122899e+01, 3.727143015814737481e+01, 5.068256214224803813e+01, 1.464424497931327451e+01, 1.343801024737136451e+01, 5.914697011112588143e+01, 8.859264687966363283e+01, 1.041208685862115146e+02, 3.664074486895840010e+01
1.901000000000000000e+03, 2.825275409082751921e+01, 6.173080211232054637e+01, 3.529538201423084587e+01, 7.782414986391533773e+01, 1.821061462506177122e+02, 3.836402406820817390e+01, 3.726541571172731437e+01, 5.072704037617674544e+01, 1.469939413665810157e+01, 1.341223384410675301e+01, 5.911054430158484507e+01, 8.863771965284657028e+01, 1.041855370578405200e+02, 3.665251136590989489e+01
1.902000000000000000e+03, 2.822948054766781567e+01, 6.175553296997378538e+01, 3.525436061924069975e+01, 7.777427483601744029e+01, 1.821623868168263982e+02, 3.835494966209575551e+01, 3.727052640314338561e+01, 5.078830335028931842e+01, 1.470575233908904522e+01, 1.338553918844629109e+01, 5.908149056177023795e+01, 8.864066564020203032e+01, 1.041928523627433947e+02, 3.664371827968724205e+01
1.903000000000000000e+03, 2.824280434001990159e+01, 6.178700283219740186e+01, 3.533589568937669156e+01, 7.773043137268560088e+01, 1.820828783669008999e+02, 3.835926095964805427e+01, 3.726408265104279849e+01, 5.084019343437842764e+01, 1.471268580506593082e+01, 1.337663247683766699e+01, 5.904535321131631775e+01, 8.866483466221042420e+01, 1.041973022691873609e+02, 3.664572633484761610e+01
1.904000000000000000e+03, 2.825049700775143080e+01, 6.179918325381477473e+01, 3.537824318084489761e+01, 7.767660020910197716e+01, 1.819591304412663533e+02, 3.837786582215188957e+01, 3.725913901796003813e+01, 5.089633408861432429e+01, 1.472139972993701384e+01, 1.340166942542834327e+01, 5.903536432986170013e+01, 8.870903709066796239e+01, 1.041743776317531598e+02, 3.665772871665662080e+01
1.905000000000000000e+03, 2.825211187992272599e+01, 6.182708177687222673e+01, 3.538238685020085228e+01, 7.760127163948321538e+01, 1.819366387167177379e+02, 3.839118368594551356e+01, 3.726686158616757183e+01, 5.094630810131559429e+01, 1.465727296249866818e+01, 1.337134588465946905e+01, 5.903662351240573258e+01, 8.873963953641990088e+01, 1.041386157283731677e+02, 3.665826447688476719e+01
1.906000000000000000e+03, 2.826004566147159736e+01, 6.186642069496312502e+01, 3.544948778873084905e+01, 7.755354781296875899e+01, 1.819731603738120214e+02, 3.840951111229282589e+01, 3.726787385604952618e+01, 5.099477679643921846e+01, 1.466749071762597900e+01, 1.331485233634343501e+01, 5.903888841725454029e+01, 8.878778214272635694e+01, 1.041507551537795422e+02, 3.666828882158529268e+01
1.907000000000000000e+03, 2.826879089364197384e+01, 6.189704145515369760e+01, 3.545837380032075004e+01, 7.751254660227778004e+01, 1.819320171866741589e+02, 3.841313879598588699e+01, 3.726926651315148575e+01, 5.103388641141869186e+01, 1.467074843056263767e+01, 1.326647242515556080e+01, 5.903665126103783933e+01, 8.885756408761182001e+01, 1.041561693640881998e+02, 3.668003501263975608e+01
1.908000000000000000e+03, 2.826986781199452636e+01, 6.194032738321977405e+01, 3.546203723573281508e+01, 7.747657486509569935e+01, 1.819385396798734291e+02, 3.840873564104568061e+01, 3.728436845919242870e+01, 5.107505057344868504e+01, 1.470332834315283144e+01, 1.324611050261987266e+01, 5.899712262703112486e+01, 8.892958288597627359e+01, 1.042054452348416334e+02, 3.668447183386636823e+01
1.909000000000000000e+03, 2.826028216660750303e+01, 6.197934192463729630e+01, 3.551515301380401013e+01, 7.743007404218236900e+01, 1.819607708957295245e+02, 3.841132408116843777e+01, 3.729082502839825253e+01, 5.111124772193534227e+01, 1.474861440202744234e+01, 1.321722185064167121e+01, 5.895759471298607224e+01, 8.899535219435303190e+01, 1.041257813738332771e+02, 3.666519623807202777e+01
