year, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL
1.937000000000000000e+03, 1.537247580735579681e-09, 1.068733132018898868e-09, 2.175775300931863378e-10, 4.478994703143755786e-11, 2.468691313148102097e-09, 4.198745741601484065e-10, 2.202901187438635429e-10, 1.224103001148786643e-09
1.938000000000000000e+03, 1.482113362089115815e-09, 9.985821871977783481e-10, 2.172539078786455537e-10, 4.514341077741039849e-11, 2.167567680532354207e-09, 3.855763220210934782e-10, 2.180786034277453693e-10, 1.134750133219584635e-09
1.939000000000000000e+03, 1.507708054278358202e-09, 1.121544058701519511e-09, 2.166012505297660573e-10, 4.530647459823174992e-11, 2.453822934435020810e-09, 3.250362817688509520e-10, 2.163689175402903749e-10, 1.099766298367232405e-09
1.940000000000000000e+03, 1.470460176664393438e-09, 9.853318568912368427e-10, 2.161517679258290514e-10, 4.568528277280197530e-11, 2.634275321852051977e-09, 3.158494858642984104e-10, 2.152712271835129020e-10, 1.224514378307077904e-09
1.941000000000000000e+03, 1.465641059819947890e-09, 1.116752160552495026e-09, 2.141126922091372642e-10, 4.574326686966289643e-11, 2.161217646142376402e-09, 3.443369360523497912e-10, 2.152916816188600300e-10, 1.209179510876860092e-09
1.942000000000000000e+03, 1.492909564350284777e-09, 1.054671284630841984e-09, 2.170876359517271892e-10, 4.632694238640472670e-11, 2.504044038948356251e-09, 4.291068580427237372e-10, 2.169629568955494877e-10, 1.349816015325375557e-09
1.943000000000000000e+03, 1.571516100255444711e-09, 1.097873826295181860e-09, 2.195046480175669245e-10, 4.664531168146768386e-11, 2.390088771326368463e-09, 4.143863389893781121e-10, 2.173176160281249155e-10, 1.216091335947940025e-09
1.944000000000000000e+03, 1.547291852275591143e-09, 1.068594574743594626e-09, 2.214341877847249972e-10, 4.696988195858745803e-11, 2.538419435781767233e-09, 4.588442500243865768e-10, 2.181950937771015323e-10, 1.397297366319626740e-09
1.945000000000000000e+03, 1.549376539107683229e-09, 1.045794073406372258e-09, 2.234698356261709351e-10, 4.774669940846303768e-11, 2.656961229713138100e-09, 4.317680559092952139e-10, 2.181558646790794456e-10, 1.381858390892090185e-09
1.946000000000000000e+03, 1.527886231651796698e-09, 1.088627008307669232e-09, 2.237292698469015004e-10, 4.860219761683082575e-11, 2.490929814299438718e-09, 3.342522977386536081e-10, 2.179007557439789040e-10, 1.221636221021216967e-09
1.947000000000000000e+03, 1.561143988721871370e-09, 1.157962267964648464e-09, 2.237487127465510879e-10, 4.912065560232124765e-11, 2.398644058154665718e-09, 3.604447309986075663e-10, 2.183703989300223769e-10, 1.159432794848107035e-09
1.948000000000000000e+03, 1.539169156425236362e-09, 1.138517107111316828e-09, 2.206296881684802950e-10, 4.938217693469826996e-11, 2.479775002336057674e-09, 4.114168603827315414e-10, 2.189044647703524578e-10, 1.311495801753952091e-09
1.949000000000000000e+03, 1.566085218756687282e-09, 1.090616734948202712e-09, 2.182550832746659585e-10, 4.988911484848085658e-11, 2.497628512793206089e-09, 3.406082028922424097e-10, 2.192598946048870974e-10, 1.343985424130358157e-09
1.950000000000000000e+03, 1.519241386014690965e-09, 1.124509618909578298e-09, 2.348529825000936473e-10, 4.937830556743543019e-11, 2.405206779314506676e-09, 3.299971268333445100e-10, 2.217608066272294276e-10, 1.068027414563234001e-09
1.951000000000000000e+03, 1.541803930917281180e-09, 1.246999145739564558e-09, 2.305036757200038682e-10, 4.910713045587301633e-11, 2.339428080939429625e-09, 4.322166449144654696e-10, 2.199388530217095835e-10, 1.108643574258639905e-09
1.952000000000000000e+03, 1.574152975129152574e-09, 1.286013260070025836e-09, 2.318240044709723601e-10, 4.972135508720012409e-11, 2.494969646023912792e-09, 4.409268243436505035e-10, 2.199289355015944613e-10, 1.243897137629317626e-09
1.953000000000000000e+03, 1.578565459089968666e-09, 1.293125766717580483e-09, 2.335940911717697226e-10, 5.076220344393548485e-11, 2.386508475046639951e-09, 3.479038643223693612e-10, 2.209426200289238971e-10, 1.224238891425955897e-09
1.954000000000000000e+03, 1.564866315448984350e-09, 1.396041156986428276e-09, 2.346042448962158563e-10, 5.169798657888492318e-11, 2.768766742696694099e-09, 3.496297472852143581e-10, 2.207884002369090525e-10, 1.230735336064269843e-09
1.955000000000000000e+03, 1.565075279041341719e-09, 1.230730243736223435e-09, 2.353393687239528491e-10, 5.241092277148999173e-11, 2.678692765189089966e-09, 4.021861105180354807e-10, 2.202210080041430926e-10, 1.255482526143514817e-09
1.956000000000000000e+03, 1.629232261132704223e-09, 1.508766726124404952e-09, 2.428518714853355528e-10, 5.274126373289235833e-11, 2.619993096831190521e-09, 4.717270425380505064e-10, 2.253029123634929276e-10, 1.256107991660795303e-09
1.957000000000000000e+03, 1.628373374919298060e-09, 1.528702728144116346e-09, 2.435738840158082083e-10, 5.361035014835577795e-11, 2.637202897110509689e-09, 5.138997786084876215e-10, 2.243481933870337923e-10, 1.340639868236346786e-09
1.958000000000000000e+03, 1.568764034918273473e-09, 1.568886112596701083e-09, 2.436622891437797440e-10, 5.434972995200005089e-11, 2.868486426837747151e-09, 5.271003870245415357e-10, 2.213188114906263701e-10, 1.358771938587022083e-09
1.959000000000000000e+03, 1.540086127293489779e-09, 1.525430394812742208e-09, 2.438291331256521569e-10, 5.542411684851493708e-11, 2.716225284598710928e-09, 4.450490534961497233e-10, 2.143839276530131713e-10, 1.116883543347577218e-09
1.960000000000000000e+03, 1.570673003186849629e-09, 1.483286641571723480e-09, 2.434843076521172003e-10, 5.654250951551221221e-11, 2.495220758161547731e-09, 4.367687902504082708e-10, 2.017131497135188063e-10, 1.151317092834097354e-09
1.961000000000000000e+03, 1.579791059293830480e-09, 1.657434761683288601e-09, 2.422985525738734269e-10, 5.817866030294860665e-11, 2.689603859994195805e-09, 5.535793908149913174e-10, 2.018980142978633177e-10, 1.174707446635220123e-09
1.962000000000000000e+03, 1.609332599817079209e-09, 1.641848092591434274e-09, 2.460125230126627923e-10, 5.973623715722376778e-11, 2.900834355809908940e-09, 5.486242627519315328e-10, 2.056921741266998399e-10, 1.400530993866171859e-09
1.963000000000000000e+03, 1.602722307818367978e-09, 1.766192850930980775e-09, 2.426128632020958960e-10, 6.149245428436297511e-11, 3.004487720764746684e-09, 6.817190741124682011e-10, 2.073219097878823454e-10, 1.328479892176770319e-09
1.964000000000000000e+03, 1.545650642173807789e-09, 1.842579958491728475e-09, 2.271197542170914710e-10, 6.135637194132031924e-11, 2.906355239848609998e-09, 7.338845784400187231e-10, 1.948426756436985585e-10, 1.312034710169888380e-09
1.965000000000000000e+03, 1.469186120563636789e-09, 1.767777902484465531e-09, 2.286728173118307167e-10, 6.289932345630162285e-11, 2.810354905032969921e-09, 7.319975603604391367e-10, 1.998778490745021201e-10, 1.264793687455373058e-09
