year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM
2.055000000000000000e+03, 2.981048047115951931e+02, 3.003362499323489487e+02, 3.005046559695571773e+02, 2.983705792426040944e+02, 3.004650023320205605e+02, 2.992813607054699219e+02, 2.982182409540555454e+02, 2.995693212897707554e+02, 2.980477446004915691e+02, 3.010110412040255028e+02, 2.994357215556424308e+02, 2.982702929608017826e+02, 2.984235142370591802e+02, 2.999501125428944874e+02, 2.987442490476953481e+02, 2.993682225527957144e+02
2.056000000000000000e+03, 2.978027990961021487e+02, 2.998736353164729280e+02, 3.008928449063996595e+02, 2.985990178615008972e+02, 3.005839166219232652e+02, 2.992861260054389163e+02, 2.985464711566482379e+02, 2.997289190547878093e+02, 2.981988322595382215e+02, 3.009718315764852150e+02, 2.994934692176641420e+02, 2.987201114987885830e+02, 2.983624567064734947e+02, 3.001483032928917396e+02, 2.985953526718611215e+02, 2.989591829574601434e+02
2.057000000000000000e+03, 2.980766094889842748e+02, 3.001137611299026275e+02, 3.006617922040847475e+02, 2.984991444212221836e+02, 3.005302097889921242e+02, 2.992540471900347256e+02, 2.981548993072025837e+02, 3.003634397266177416e+02, 2.981484997920987325e+02, 3.013465646706973189e+02, 2.988913427687817830e+02, 2.986328781515756532e+02, 2.985515712104825639e+02, 2.999237239940615041e+02, 2.987058880133521370e+02, 2.992922191988830036e+02
2.058000000000000000e+03, 2.987371383775952154e+02, 3.002144026316911436e+02, 3.005111158884830047e+02, 2.987956185934494897e+02, 3.007692397381493947e+02, 2.993941660230236721e+02, 2.983043072289650581e+02, 2.998337842199313741e+02, 2.978197203086455715e+02, 3.015614524845026949e+02, 2.991738836234246151e+02, 2.982508981966385591e+02, 2.985241903751211794e+02, 2.999837199088555622e+02, 2.988259797086333265e+02, 2.996532554344302639e+02
2.059000000000000000e+03, 2.983603258747036762e+02, 2.997706695237295094e+02, 3.009737639595720680e+02, 2.987638619450618194e+02, 3.004461597902514995e+02, 2.999322063715843569e+02, 2.990319324724173953e+02, 3.000950391835860387e+02, 2.979038864319310846e+02, 3.013184623484942222e+02, 2.991145504739621970e+02, 2.984636417189802842e+02, 2.986753907257874516e+02, 2.998847297664820530e+02, 2.987180986644573863e+02, 2.992248507221893874e+02
2.060000000000000000e+03, 2.985774022072385492e+02, 2.999292537682493958e+02, 3.007829876222746748e+02, 2.985283259330790315e+02, 3.006368337689314103e+02, 2.994142503724498852e+02, 2.985083847570112994e+02, 3.002411782248138934e+02, 2.981377522449512298e+02, 3.013542791621010792e+02, 2.992298243869450971e+02, 2.985239867414684340e+02, 2.984525113811045003e+02, 3.002433039834070883e+02, 2.987242349132410482e+02, 2.990537459334774439e+02
2.061000000000000000e+03, 2.985170901157671892e+02, 3.002216174312953285e+02, 3.005662691240964364e+02, 2.983962891157821673e+02, 3.007093580313434700e+02, 2.992050522011441558e+02, 2.978570732529269094e+02, 2.999252824119043908e+02, 2.982067302078284001e+02, 3.013486346756924377e+02, 2.990205139263344449e+02, 2.987922663714054465e+02, 2.984371720748845291e+02, 3.001692719480846563e+02, 2.987308591375776814e+02, 2.995090400421868821e+02
2.062000000000000000e+03, 2.983935679797831995e+02, 2.998796478136636665e+02, 3.004491347642551204e+02, 2.986868010020859856e+02, 3.006123655455261883e+02, 2.996291381361685922e+02, 2.980945913658554787e+02, 2.999577730937180604e+02, 2.980766721591068631e+02, 3.015875824521651225e+02, 2.990208341073978318e+02, 2.980487959286024875e+02, 2.986024047636079786e+02, 2.997953623672141816e+02, 2.988504943052888621e+02, 2.993868761575834583e+02
2.063000000000000000e+03, 2.987902682398117804e+02, 3.002185329883837994e+02, 3.007900436873028411e+02, 2.986825152886868864e+02, 3.006062467852134432e+02, 2.992101466360595623e+02, 2.982142016012782051e+02, 3.000511760941640205e+02, 2.981060777327650726e+02, 3.013682611550170236e+02, 2.994234518753934822e+02, 2.979905921721219784e+02, 2.984304165846465366e+02, 2.997774110452358514e+02, 2.988290147810427584e+02, 2.996901787124106704e+02
2.064000000000000000e+03, 2.980487769132409426e+02, 3.003028967759211696e+02, 3.009377476777631841e+02, 2.988233892510190230e+02, 3.007991380950545022e+02, 2.993430434880075381e+02, 2.986548293194420580e+02, 2.999683129729165216e+02, 2.979556198858382459e+02, 3.015151648007185941e+02, 2.996204622077577824e+02, 2.983049353979193938e+02, 2.985188390684382966e+02, 2.997653112985688608e+02, 2.986361460600879241e+02, 2.996821279706380778e+02
