year, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.072000000000000000e+03, 4.679945159399999710e+01, 9.465362470799999528e+01, 4.852877545799999837e+01, 4.589581116599999433e+01, 5.083757726399999655e+01, 7.121774879999999541e+01, 4.614951828599999573e+01, 4.503823300799999885e+01, 7.347894307199999275e+01, 6.620227124399998786e+01, 4.663002837599999850e+01, 5.292995932799999537e+01, 4.623060916799999376e+01, 5.184791186399999674e+01
2.073000000000000000e+03, 4.726079567999999398e+01, 9.520493705999999179e+01, 4.774776276599999392e+01, 4.609571392799999501e+01, 5.138927987399999608e+01, 7.058437189199999295e+01, 4.526570611799999710e+01, 4.542312594599999898e+01, 7.559120069999998748e+01, 6.749102141999999560e+01, 4.806280740599999746e+01, 5.299009453799999392e+01, 4.687536268799999561e+01, 5.271426885599999679e+01
2.074000000000000000e+03, 4.812299386199999418e+01, 9.586332989999999654e+01, 4.725071598599999589e+01, 4.518246684599999696e+01, 5.145265146599999895e+01, 7.169582667599999581e+01, 4.536094089599999535e+01, 4.486060254599999553e+01, 7.562235038400000064e+01, 6.825064481999999089e+01, 4.781210408999999828e+01, 5.329414888199999467e+01, 4.811909916599999804e+01, 5.246289539999999363e+01
2.075000000000000000e+03, 4.804459536599999581e+01, 9.581309305199999926e+01, 4.775272180199999639e+01, 4.620782440799999335e+01, 5.109642869399999654e+01, 7.175134580399999606e+01, 4.640648938199999662e+01, 4.543947736199999810e+01, 7.346336428799999396e+01, 6.716617696799998782e+01, 4.767231288599999317e+01, 5.273930449799999565e+01, 4.829169175199999842e+01, 5.209173638999999412e+01
2.076000000000000000e+03, 4.741799869799999811e+01, 9.581352667199999473e+01, 4.701754274399999645e+01, 4.569642480599999601e+01, 5.099640438599999470e+01, 7.216512965999999096e+01, 4.517220187799999565e+01, 4.535395567199999789e+01, 7.584139155599999071e+01, 6.665817142799998862e+01, 4.889762445599999552e+01, 5.281772664599999700e+01, 4.763022020999999739e+01, 5.232437746199999395e+01
2.077000000000000000e+03, 4.799660545799999767e+01, 9.565646950799998649e+01, 4.841863597799999752e+01, 4.573505246399999891e+01, 5.124284639999999769e+01, 7.220012673600000142e+01, 4.620255395399999543e+01, 4.570186082399999350e+01, 7.326201481199998966e+01, 6.655000294799999949e+01, 4.834631604599999832e+01, 5.373299597399999783e+01, 4.853102239799999751e+01, 5.146586899199999721e+01
2.078000000000000000e+03, 4.792096636199999438e+01, 9.658938322799998843e+01, 4.805726889599999652e+01, 4.513886044199999503e+01, 5.155908546599999909e+01, 7.155435617999999920e+01, 4.584724178399999772e+01, 4.520874421799999965e+01, 7.361538357599999927e+01, 6.683068911599998785e+01, 4.761931269599999439e+01, 5.291410854599999425e+01, 4.643595583199999766e+01, 5.160029119199999315e+01
2.079000000000000000e+03, 4.729747598999999525e+01, 9.751735367999999937e+01, 4.733386853399999694e+01, 4.565165156999999851e+01, 5.119268444999999446e+01, 7.197040274399999760e+01, 4.613806283399999586e+01, 4.540077086399999473e+01, 7.367355172799999252e+01, 6.778635605999998859e+01, 4.903626853799999452e+01, 5.220519503399999905e+01, 4.713774220799999881e+01, 5.278656119399999369e+01
2.080000000000000000e+03, 4.746573631799999760e+01, 9.644667494399999441e+01, 4.824794737799999922e+01, 4.542336640799999969e+01, 5.112924978599999548e+01, 7.220030806799999823e+01, 4.571999402399999468e+01, 4.549338026999999585e+01, 7.522366438799998889e+01, 6.788356577999999786e+01, 4.729453919999999556e+01, 5.254426222199999330e+01, 4.707528515999999286e+01, 5.257425295799999532e+01
2.081000000000000000e+03, 4.748057400599999767e+01, 9.729476470799998822e+01, 4.753011706199999509e+01, 4.574632658399999485e+01, 5.119998503399999379e+01, 7.236087361199999179e+01, 4.626684008999999520e+01, 4.572317915999999371e+01, 7.496216787599999520e+01, 6.635851635599999554e+01, 4.838675308199999847e+01, 5.191038467999999284e+01, 4.798187026199999394e+01, 5.212436826599999762e+01
