year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.960000000000000000e+03, 3.675932521906633320e-10, -8.161955232460028585e-10, 4.609383618962667800e-10, 4.321588749804454378e-10
1.961000000000000000e+03, 3.939623175992091338e-10, -8.641365373959369654e-10, 4.456593759725501057e-10, 4.452319909926973289e-10
1.962000000000000000e+03, 3.921641211878323093e-10, -8.846329029951775386e-10, 4.532756734206492466e-10, 4.153923595688832537e-10
1.963000000000000000e+03, 3.887531226145721449e-10, -8.743858532708733923e-10, 4.678349808456109016e-10, 4.443940267913724168e-10
1.964000000000000000e+03, 3.855579464125602607e-10, -9.013511383545049167e-10, 4.804667057715268675e-10, 4.612911689306416427e-10
1.965000000000000000e+03, 3.856239315518672293e-10, -9.507752407547665242e-10, 4.981760954392836800e-10, 4.805621499827206167e-10
1.966000000000000000e+03, 3.807762949261548364e-10, -9.688207788941940732e-10, 5.018639924646043344e-10, 5.077047885028726273e-10
1.967000000000000000e+03, 3.791948382250453156e-10, -9.512750454831892823e-10, 5.151910080906724566e-10, 4.703958766160206564e-10
1.968000000000000000e+03, 3.702543665113996455e-10, -9.850991579713348132e-10, 5.217073052178848945e-10, 4.973563796913003632e-10
1.969000000000000000e+03, 3.694504760349530771e-10, -9.884185071094398545e-10, 5.139705862056145587e-10, 5.062740828196078947e-10
1.970000000000000000e+03, 3.629439372565953361e-10, -1.034699273789694072e-09, 5.062051557859648689e-10, 5.443887377914167944e-10
1.971000000000000000e+03, 3.106885101806835634e-10, -1.013921781387600046e-09, 3.678860577341876247e-10, 6.134207796609013381e-10
1.972000000000000000e+03, 3.057614153990498495e-10, -1.042171462603980513e-09, 3.916480381081845784e-10, 6.217015631766390302e-10
1.973000000000000000e+03, 2.988395425311163146e-10, -9.778377806177951866e-10, 3.940624436347557860e-10, 6.373174528306098242e-10
1.974000000000000000e+03, 2.939514285126950487e-10, -9.702538270757617850e-10, 3.929898457793323363e-10, 6.743993629600351236e-10
1.975000000000000000e+03, 2.918015437850042584e-10, -1.063706864180503103e-09, 3.848233179075384084e-10, 6.921548783860757658e-10
1.976000000000000000e+03, 2.893693355371853479e-10, -1.113745960059537565e-09, 3.815780749183282665e-10, 7.511169978250898408e-10
1.977000000000000000e+03, 2.894512940297611346e-10, -1.081788269013039310e-09, 3.809798827384289752e-10, 6.712752663821570569e-10
1.978000000000000000e+03, 2.886309781111595795e-10, -1.076869164854929816e-09, 3.679354427389427916e-10, 6.826357786727239297e-10
