year, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, CanESM5, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5
1.900000000000000000e+03, 4.691007365549880070e+00, 6.151217761550491936e+00, 3.007863543073263202e+01, 5.440458918404436872e+01, 4.675580111489550106e+00, 3.255340495801385003e+01, 3.459467194148512448e+01, 1.908893401811480928e+01, 1.170013014854983702e+01, 1.982897648272983426e+00, 4.714551047099863723e+00, 6.108501197047816689e+00, 6.636677408593824268e+00
1.901000000000000000e+03, 4.755329120232089757e+00, 5.931486791558843841e+00, 2.989177759726580064e+01, 5.440228140948192959e+01, 4.677033981585077882e+00, 3.212609046521659195e+01, 3.462294107837310975e+01, 1.905085421930077416e+01, 1.174284651413020342e+01, 2.191149255014191333e+00, 4.692055282937571903e+00, 6.231158020230087580e+00, 6.583982539797758271e+00
1.902000000000000000e+03, 4.787823914753817078e+00, 6.199396432414108205e+00, 3.022742534348828514e+01, 5.432634539796966777e+01, 4.716087139885904556e+00, 3.182695751979940013e+01, 3.446900113746173844e+01, 1.903677668959632285e+01, 1.155748064437479705e+01, 2.130143222379344170e+00, 4.874278215200989806e+00, 6.181351949252441358e+00, 6.648990626091702438e+00
1.903000000000000000e+03, 4.753861244070880510e+00, 6.148250730869936120e+00, 3.031294625250131247e+01, 5.426452051593488335e+01, 4.716710547243261331e+00, 3.214265242175863335e+01, 3.458129023068980246e+01, 1.909637432843679505e+01, 1.182414853595033399e+01, 2.039164707398798182e+00, 4.903560816948258072e+00, 6.251406485303752092e+00, 6.693089402189931647e+00
1.904000000000000000e+03, 4.607653268473379526e+00, 6.038046684216656246e+00, 3.008344686075135144e+01, 5.417907047677168464e+01, 4.627870829730126978e+00, 3.240636495732727695e+01, 3.473893452325372522e+01, 1.907000853783880601e+01, 1.178095646883397585e+01, 2.117313380720453164e+00, 4.749036747841353545e+00, 6.385056144138993695e+00, 6.761592424229045939e+00
1.905000000000000000e+03, 4.612727774662937819e+00, 5.982339106906266579e+00, 3.013024309008327251e+01, 5.423759370962024207e+01, 4.731235578845344847e+00, 3.258698466018631734e+01, 3.472392867232559865e+01, 1.911898356609044569e+01, 1.170756659519426712e+01, 2.055609143257395299e+00, 4.762408741851227312e+00, 6.514608857288364696e+00, 6.872162073652535064e+00
1.906000000000000000e+03, 4.637164840962195278e+00, 6.382075204840996108e+00, 3.024498044223395254e+01, 5.427352485982665797e+01, 4.890547353974699973e+00, 3.256325628475440226e+01, 3.480942656150568126e+01, 1.910596636524053338e+01, 1.192586091782752966e+01, 2.085261642543584149e+00, 4.797454929968774984e+00, 6.378563850769499943e+00, 6.852371452378924310e+00
1.907000000000000000e+03, 4.632231654185850367e+00, 5.998087613302787169e+00, 3.020319322660255423e+01, 5.419850745894162714e+01, 4.748884943124896729e+00, 3.242865198525007031e+01, 3.470122292692447274e+01, 1.913636604680889874e+01, 1.178607081561295367e+01, 2.040423624459149821e+00, 4.790761634972688476e+00, 6.373539099083238568e+00, 6.818852120417837170e+00
1.908000000000000000e+03, 4.664910113374113543e+00, 5.763915515742885631e+00, 3.026286116079290522e+01, 5.408096039808993538e+01, 4.686783341602234643e+00, 3.283633438127849757e+01, 3.447852759246013221e+01, 1.913423817900812551e+01, 1.177796945592313982e+01, 2.076113663193668746e+00, 4.829258965378967261e+00, 6.193977447696397576e+00, 6.779347082923821155e+00
1.909000000000000000e+03, 4.751832728351006452e+00, 6.086486488354692526e+00, 3.017531883065180409e+01, 5.439736353324791907e+01, 4.705163684701706650e+00, 3.286889084007709982e+01, 3.427304974827938366e+01, 1.910289545553840895e+01, 1.162390262492144899e+01, 2.147857577335210433e+00, 4.749094741593138380e+00, 6.279623771306663826e+00, 6.800679148795726547e+00
1.910000000000000000e+03, 4.658074396765889524e+00, 6.478724001188551185e+00, 3.034157560666661269e+01, 5.442185261400162233e+01, 4.736567463160109348e+00, 3.253940829330336015e+01, 3.426309670641389715e+01, 1.903937608288097749e+01, 1.191481695602403157e+01, 2.323846179886476015e+00, 4.740283784507223430e+00, 6.279765985486950974e+00, 6.799880789808834258e+00
1.911000000000000000e+03, 4.646065628985048157e+00, 6.107112537779267214e+00, 3.027537719937379279e+01, 5.428136404047415198e+01, 4.651926329705990071e+00, 3.248302264209726786e+01, 3.417846382655795168e+01, 1.908535272797640303e+01, 1.186656023087479994e+01, 2.049869188134734177e+00, 4.790677648227386953e+00, 6.305325966692374884e+00, 6.772793916234232547e+00
1.912000000000000000e+03, 4.606386429809382399e+00, 5.953246613302636270e+00, 3.022584749130638571e+01, 5.439268857341404129e+01, 4.745976848853606711e+00, 3.227339973778565252e+01, 3.381055073556736801e+01, 1.907415505025811342e+01, 1.220837005806648001e+01, 1.939577783886822226e+00, 4.796511137114900514e+00, 6.186038237059076295e+00, 6.699877323997751155e+00
1.913000000000000000e+03, 4.563723457307648168e+00, 5.862257397578935603e+00, 3.031314521017760555e+01, 5.494368677716209248e+01, 4.709315386281600624e+00, 3.216733906278233945e+01, 3.391563932472021037e+01, 1.909473719442756234e+01, 1.216248270794453745e+01, 2.033731786910503381e+00, 4.795387024734994341e+00, 6.157472084689355363e+00, 6.689805037595596637e+00
1.914000000000000000e+03, 4.663168014505385983e+00, 6.405093154243281184e+00, 3.026105919045329884e+01, 5.458135152494192255e+01, 4.717902606705601798e+00, 3.236618547733134221e+01, 3.426273136349711024e+01, 1.918663521761443391e+01, 1.199534258208324999e+01, 2.245982195251853941e+00, 4.867638332366708731e+00, 6.350419889405492846e+00, 6.758323804697194070e+00
1.915000000000000000e+03, 4.631036367463223336e+00, 6.173589495584561604e+00, 3.026068135817525828e+01, 5.448148433872739815e+01, 4.740468831606321487e+00, 3.270871485527963785e+01, 3.430724956153689220e+01, 1.913755526047821220e+01, 1.168312266514683806e+01, 2.193349181783753821e+00, 4.728407403961319311e+00, 6.509236046519665031e+00, 6.762361869833470429e+00
1.916000000000000000e+03, 4.556489507099645841e+00, 5.931016324253652883e+00, 3.052500478910031489e+01, 5.469853463839137930e+01, 4.789696594397915952e+00, 3.272130583137128212e+01, 3.426073913787293179e+01, 1.921476860163850731e+01, 1.194642966498634351e+01, 1.991874196134134634e+00, 4.650689653305713378e+00, 6.682084257319592879e+00, 6.785715795718821219e+00
