year, CMCC-ESM2, TaiESM1, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM
2.066000000000000000e+03, 5.655382038791682639e-11, 6.000326215566733483e-11, 4.753086883976480834e-11, 6.990470326961515021e-12, 6.433707148589533007e-11, 1.669598544662780318e-11, 3.812925160968295306e-11, 2.671704370674174755e-10, 3.277690352470363410e-11, 2.984419423816705976e-10
2.067000000000000000e+03, 5.668234681826338140e-11, 5.858190405716137930e-11, 4.705866499120259350e-11, 7.785150214941187221e-12, 6.393430912040768502e-11, 1.669710128917598782e-11, 3.910104713663811662e-11, 2.381678642140553929e-10, 3.350099366548023674e-11, 3.404255406222157692e-10
2.068000000000000000e+03, 5.723081831701015152e-11, 5.871383539349403781e-11, 4.721321705032186873e-11, 8.481269537972172308e-12, 6.328534678549488158e-11, 1.671382591401647666e-11, 3.885475671594562816e-11, 2.832065966867618663e-10, 3.390632448722431523e-11, 3.351597504105131236e-10
2.069000000000000000e+03, 5.742249854870461265e-11, 5.915545529165727865e-11, 4.689460993968723498e-11, 8.938545904469017108e-12, 6.406583657374305021e-11, 1.672951549133366246e-11, 3.841977899071349199e-11, 2.220557082392035831e-10, 3.436914053914586830e-11, 3.454071280886996586e-10
2.070000000000000000e+03, 5.323675235254256202e-11, 4.816926173831309680e-11, 4.655933109081494479e-11, 9.239609261922032210e-12, 6.197096527714691753e-11, 1.660920541375930437e-11, 3.975008677022579872e-11, 2.339466179406418842e-10, 3.193872172062216562e-11, 3.383172066945175707e-10
2.071000000000000000e+03, 5.372163580152078820e-11, 4.718241085255844982e-11, 5.791412264690738851e-11, 8.253116058648478265e-12, 4.598281763445167546e-11, 1.608047689940042167e-11, 3.890242010930328804e-11, 2.695289607518208587e-10, 3.042835307144403319e-11, 4.079006730319869990e-10
2.072000000000000000e+03, 5.445913670876081309e-11, 4.764272385892265204e-11, 5.784037552173089842e-11, 8.192808428635112656e-12, 4.510090583195140609e-11, 1.646353878282385111e-11, 3.802797538726131301e-11, 3.026022541048564029e-10, 3.073227648226305611e-11, 3.379441653658500088e-10
2.073000000000000000e+03, 5.265898050980239251e-11, 4.564629691530262496e-11, 5.910900518865880858e-11, 8.356695118987450449e-12, 4.304001501614945721e-11, 1.867650431888358533e-11, 3.831748453139853709e-11, 2.756086422933534230e-10, 3.110791700963364518e-11, 3.603420567205119672e-10
2.074000000000000000e+03, 5.215664978374418419e-11, 4.553624589597218580e-11, 5.931458864372127024e-11, 8.537598444043530778e-12, 4.318949123208669650e-11, 1.886452114313496065e-11, 2.697844319004674867e-11, 2.916101386053399267e-10, 3.112675564631162068e-11, 3.916351254212234784e-10
2.075000000000000000e+03, 4.776047975682609387e-11, 4.594307312406968781e-11, 5.880390167919111499e-11, 8.299398757737723758e-12, 4.203988492919080880e-11, 1.901793119120902234e-11, 3.111910081385114199e-11, 3.001217360072405320e-10, 2.444268058084754870e-11, 4.014961159479544324e-10
2.076000000000000000e+03, 4.859611375198258992e-11, 4.503015455795422585e-11, 8.612533023279677085e-11, 6.068544215079176532e-12, 4.970827291794005171e-11, 1.471169518698729510e-11, 2.181084570909766241e-11, 2.387101106406834580e-10, 2.000358557765466963e-11, 3.972698045983281505e-10
2.077000000000000000e+03, 4.735645300323452776e-11, 4.512491427816844008e-11, 8.951467866446874039e-11, 4.930855816663256831e-12, 4.859184036669834155e-11, 1.448223135996670258e-11, 2.136720051983655926e-11, 3.125226953166111685e-10, 1.894211351683346469e-11, 3.968881017977133579e-10
