year, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, TaiESM1, CanESM5, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5
1.901000000000000000e+03, 6.028619213468261462e-01, 1.539507182886324488e+00, 7.071948780464724749e+00, 6.909834647330341806e-01, 1.050921986795944729e+00, 1.264910371565904246e+00, 1.404634753277321346e+00, 5.405730393182520688e-01, 1.796053404534606324e-01, 4.338522629666664798e+00, 7.000380747573415441e+00, 3.624946540684495844e+00, 8.543988624635339146e-01
1.902000000000000000e+03, 5.802445437795584748e-01, 1.545102918863608954e+00, 7.068019124023716238e+00, 6.800380962633550963e-01, 1.067987643525232677e+00, 1.294724615998759765e+00, 1.496457949034763146e+00, 5.497850340499963462e-01, 1.656948947386538140e-01, 4.363203062596819670e+00, 7.023583703161970782e+00, 3.574031684968902223e+00, 7.756496127796225215e-01
1.903000000000000000e+03, 5.951770408846225324e-01, 1.535432187035650875e+00, 7.067947233432892773e+00, 6.566270301968366585e-01, 1.055190736601054002e+00, 1.341925241596342300e+00, 1.558482053440825021e+00, 5.414928957326952119e-01, 1.832057570890776588e-01, 4.366096416335802033e+00, 7.022422435965157028e+00, 3.579059658686912115e+00, 7.267962405574015516e-01
1.904000000000000000e+03, 5.741808141877630112e-01, 1.525810734900690191e+00, 7.091674407168036431e+00, 6.048997269826937861e-01, 1.051123095963654608e+00, 1.420884006023785062e+00, 1.598198421628200583e+00, 5.413820576451151556e-01, 1.716713431916468136e-01, 4.382542264623435990e+00, 7.029334115752111423e+00, 3.602062157493335803e+00, 7.533148725471999763e-01
1.905000000000000000e+03, 5.552055709178852494e-01, 1.524046750598878397e+00, 7.070755442363156895e+00, 6.439883618955092315e-01, 1.056250861764895577e+00, 1.458391575768269943e+00, 1.560033447616694380e+00, 5.825560109297595046e-01, 1.580499839762267433e-01, 4.395860024427595825e+00, 7.054578730722777635e+00, 3.615354060856366569e+00, 8.161443547862321513e-01
1.906000000000000000e+03, 5.558214369069067740e-01, 1.530776000627231070e+00, 7.062249257820338855e+00, 5.908438188492418641e-01, 1.066064660313943424e+00, 1.462676072065748123e+00, 1.521423629646769582e+00, 5.645849978185178974e-01, 2.140156033075745201e-01, 4.440452842023783653e+00, 7.066765911617761908e+00, 3.625788511998272678e+00, 8.149274655794483957e-01
1.907000000000000000e+03, 5.819844787829395738e-01, 1.541124920236043971e+00, 7.053606215127659951e+00, 6.033712352630437037e-01, 1.047690815884754656e+00, 1.480412558674880641e+00, 1.450701975209119921e+00, 5.590328799823327532e-01, 1.914198709371228713e-01, 4.417895958028115189e+00, 7.078064821676056440e+00, 3.601149144529887991e+00, 7.657430306098924611e-01
1.908000000000000000e+03, 5.655965567091084667e-01, 1.545653525956995900e+00, 7.059468846426953270e+00, 6.685714510571144631e-01, 1.036803918584530138e+00, 1.475394065571109747e+00, 1.586119366990738522e+00, 5.423888861012013951e-01, 1.894124552088261582e-01, 4.481747728910742801e+00, 7.093757804616354967e+00, 3.587350256216042865e+00, 7.649827955270677160e-01
1.909000000000000000e+03, 5.694247184949070562e-01, 1.549239705808163503e+00, 7.037254788584785814e+00, 6.425830044648876971e-01, 1.030231009854888580e+00, 1.469209928128329512e+00, 1.624198148949904663e+00, 5.454297084185493194e-01, 1.608703140802208165e-01, 4.519078592927927573e+00, 7.116764666241251369e+00, 3.595498930961020800e+00, 7.558073695319375007e-01
1.910000000000000000e+03, 5.713463634853519491e-01, 1.537696755914031321e+00, 7.067601742160345424e+00, 6.190455705656620067e-01, 1.017333971623954003e+00, 1.454703695413692932e+00, 1.524068988543377579e+00, 5.544037112645460175e-01, 1.722140059734260653e-01, 4.526562935717763914e+00, 7.136376497642677563e+00, 3.606993229188919070e+00, 6.729395191305087565e-01
