year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.925000000000000000e+03, 8.120145238070145463e-10, 4.270793543407474007e-11, 4.985141819025027704e-10, 3.450555055601965246e-13, 5.769858286057961371e-11, 5.226581206470283605e-10, 3.271688366972011667e-10, 1.026112543335262363e-10
1.926000000000000000e+03, 8.250928209514860485e-10, 4.259624924448139825e-11, 5.021352727791243093e-10, 3.289971931762295379e-13, 5.682339498262163885e-11, 5.285827261864553331e-10, 3.314594427164589586e-10, 1.038452841823322432e-10
1.927000000000000000e+03, 8.427575938020991970e-10, 4.244168072572835613e-11, 4.963510713971728406e-10, 3.317880763286271453e-13, 5.592725759476772837e-11, 5.319071667842743477e-10, 3.365507488372140896e-10, 1.052547747874243620e-10
1.928000000000000000e+03, 8.570595443566500167e-10, 4.229474900971833007e-11, 5.096319305625057108e-10, 3.533224921918066280e-13, 5.514147373737979814e-11, 5.362549772720565048e-10, 3.322982111316772404e-10, 1.068038807949264230e-10
1.929000000000000000e+03, 7.890935841891275188e-10, 4.219887122067421113e-11, 5.216468766897703346e-10, 3.132138743970826732e-13, 5.434437523943130759e-11, 5.409565573796281396e-10, 3.366682670516637885e-10, 1.084813934932998399e-10
1.930000000000000000e+03, 7.936386626829774687e-10, 4.248683391472490507e-11, 5.080835435690461343e-10, 3.243924743516284406e-13, 5.356663771802505711e-11, 5.425826351562291414e-10, 3.406630619442695461e-10, 1.100855136760250064e-10
1.931000000000000000e+03, 8.247494933399314301e-10, 4.543149638832931154e-11, 5.064783254067967506e-10, 4.053212170964055531e-13, 5.408710859150097986e-11, 5.455509270266256171e-10, 3.348420640754530436e-10, 1.116558117162524717e-10
1.932000000000000000e+03, 8.211935082380997703e-10, 4.674604842080763804e-11, 5.108103096398325876e-10, 4.861087638774923309e-13, 5.249396723799737541e-11, 5.457200543206799799e-10, 3.388159204985447502e-10, 1.133959092331017337e-10
1.933000000000000000e+03, 7.886523974352486534e-10, 4.749783219641023630e-11, 5.112521220788847923e-10, 5.776183427126525743e-13, 5.088770620697454024e-11, 5.452715194013751484e-10, 3.445700259013962786e-10, 1.152838063115769791e-10
1.934000000000000000e+03, 7.557003841212175290e-10, 4.807902163186217098e-11, 5.078341596119619392e-10, 6.013299320553200870e-13, 4.923769234263212471e-11, 5.452791170789037026e-10, 3.608472819920632743e-10, 1.172927632002271986e-10
