year, IPSL-CM6A-LR, CanESM5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-LM, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5
1.952000000000000000e+03, 3.661469588601286063e+01, 1.231348796127888932e+02, 9.725834898955859842e+01, 2.000447023685155443e+02, 1.364922876491022237e+02, 9.746301351224212794e+01, 1.336588084423923419e+02, 6.669334505893674248e+01, 5.669879350009303920e+01, 9.111531738183893481e+01, 3.995066215502753693e+01, 9.196352624876888626e+01, 1.092650914227817225e+02, 2.704375645829542805e+02
1.953000000000000000e+03, 3.662239361799582582e+01, 1.231223737320074605e+02, 9.729891235772223013e+01, 2.001374114249673539e+02, 1.365477164554600336e+02, 9.748731146735221387e+01, 1.336387425548581405e+02, 6.671987762019875845e+01, 5.670590284402103265e+01, 9.114179426715443810e+01, 3.998179113063919488e+01, 9.201418833377283590e+01, 1.092620648595153483e+02, 2.704833377132056285e+02
1.954000000000000000e+03, 3.663014190600399900e+01, 1.231146393327875757e+02, 9.734371978736312769e+01, 2.001305490726302878e+02, 1.366037487623386539e+02, 9.752651032319394631e+01, 1.336287758353078061e+02, 6.666232916174131162e+01, 5.668384548512885601e+01, 9.114074787072917161e+01, 3.996246148551729505e+01, 9.205752600838796695e+01, 1.092437203853795324e+02, 2.704257126107921181e+02
1.955000000000000000e+03, 3.665405197874024168e+01, 1.231077736980588355e+02, 9.737286890068551770e+01, 2.003071723386188694e+02, 1.366477141137016815e+02, 9.753499819915737135e+01, 1.336018181426284741e+02, 6.668415685145191674e+01, 5.669366413259307080e+01, 9.113083077584730063e+01, 3.996185450144675144e+01, 9.209176484705659504e+01, 1.092600220247005751e+02, 2.704252823527327791e+02
1.956000000000000000e+03, 3.667453878173235893e+01, 1.231041813688055413e+02, 9.739316093778440120e+01, 2.002487978699833491e+02, 1.366925736229749759e+02, 9.756104992272976517e+01, 1.335715558986340170e+02, 6.674648894011828304e+01, 5.672887797901972817e+01, 9.114133332100756490e+01, 3.993003164878017230e+01, 9.210569421140506563e+01, 1.093007744291044219e+02, 2.704735565366979699e+02
1.957000000000000000e+03, 3.669622195514082108e+01, 1.230987616092277648e+02, 9.741880944533349407e+01, 2.002429671094820662e+02, 1.367551896795075947e+02, 9.756097285326831070e+01, 1.335509168369840154e+02, 6.679319039434658123e+01, 5.671295019534602488e+01, 9.114996963044534084e+01, 3.996078942550688140e+01, 9.212645528887051682e+01, 1.093532591516485013e+02, 2.704794572097072205e+02
1.958000000000000000e+03, 3.669752741982281208e+01, 1.231114795305284701e+02, 9.745571734662519248e+01, 2.002632901996328201e+02, 1.368327287457721582e+02, 9.756115629400662215e+01, 1.335418557518333103e+02, 6.679201161977881895e+01, 5.677562960926698565e+01, 9.119557528121939072e+01, 3.995652791046475016e+01, 9.215521401848756966e+01, 1.093691931308213299e+02, 2.703814670675796492e+02
1.959000000000000000e+03, 3.670605968189826740e+01, 1.231257268540892511e+02, 9.748455233693729838e+01, 2.001469398180303187e+02, 1.369151210626947091e+02, 9.761495751632129725e+01, 1.335263163879259878e+02, 6.677364589888884439e+01, 5.677491965470973412e+01, 9.123518768877892171e+01, 3.993073243777681824e+01, 9.218611729305850133e+01, 1.093501800035633522e+02, 2.703626626165556672e+02
1.960000000000000000e+03, 3.672357474222512508e+01, 1.231064194965084084e+02, 9.752422702293225143e+01, 2.000977241169796628e+02, 1.369989513231098499e+02, 9.768520010370805551e+01, 1.335172629619393092e+02, 6.680808283266732417e+01, 5.676583754870824094e+01, 9.126535188481710748e+01, 3.991309069927980602e+01, 9.223610635972238470e+01, 1.093327772723888387e+02, 2.704099493402928260e+02
1.961000000000000000e+03, 3.672695010283064931e+01, 1.231002251119119109e+02, 9.757816429323681007e+01, 2.000868740040598084e+02, 1.370611775414258773e+02, 9.770789279776526826e+01, 1.335081422953348067e+02, 6.689302791073809829e+01, 5.668224032856987549e+01, 9.136058298276837775e+01, 3.991520980418330566e+01, 9.227789852067542142e+01, 1.093319047921429359e+02, 2.704775388513886583e+02
