year, CESM2-WACCM, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CMCC-ESM2, NorESM2-MM, TaiESM1
2.088000000000000000e+03, 3.612906278779279174e-10, 2.313584202891985841e-09, 1.208591012603341869e-10, 1.533935937931405840e-09, 1.007224214082651553e-09, 6.016127868962569984e-12, 7.404381714701947297e-11, 5.381066326204331107e-10, 2.039697313185106624e-09, 7.138411054941648826e-10
2.089000000000000000e+03, 3.521290424826398341e-10, 2.301974453885627404e-09, 1.207957089402928467e-10, 1.461685723231519311e-09, 9.641744262607493522e-10, 5.139050559686603964e-12, 7.325564814069377636e-11, 5.407685360678501283e-10, 1.977963519766333086e-09, 7.169756590216441083e-10
2.090000000000000000e+03, 3.455016587593500541e-10, 2.268924386500798919e-09, 1.206646205069148179e-10, 1.550031638901782429e-09, 9.992276980523721899e-10, 4.662046145503025441e-12, 7.262984419855598119e-11, 5.175813639417157393e-10, 2.029918454921864313e-09, 7.077671009787830008e-10
2.091000000000000000e+03, 3.168603457772912985e-10, 2.253387626649666850e-09, 1.301456299629095916e-10, 1.702941526860929508e-09, 9.182904201711757733e-10, 4.335969398906061121e-12, 1.107370677416766622e-10, 5.200227622179987032e-10, 2.104958626764339555e-09, 7.116525109834180028e-10
2.092000000000000000e+03, 3.120620365070516006e-10, 2.240490331351596170e-09, 1.306729473489532770e-10, 1.611150298344300662e-09, 9.357371215009116827e-10, 4.199569203073020394e-12, 1.132160829829036292e-10, 5.220511404780055313e-10, 2.236833368878209435e-09, 7.143810586101740660e-10
2.093000000000000000e+03, 3.076758651018041699e-10, 2.234465426607270482e-09, 1.310242564394685530e-10, 1.619236947517341410e-09, 9.469359726017548349e-10, 4.018187650120791112e-12, 1.139195107373378580e-10, 5.192423266158765175e-10, 2.182628764029973277e-09, 7.149240384667627843e-10
2.094000000000000000e+03, 3.044785614474739583e-10, 2.225570918172848357e-09, 1.314721508629241722e-10, 1.793242503593377916e-09, 9.247526428670768767e-10, 3.877875570384483544e-12, 1.155142600486099155e-10, 5.144757637586810948e-10, 2.040644127755732533e-09, 7.131648975044830047e-10
2.095000000000000000e+03, 3.015962289686891832e-10, 2.228353504808194046e-09, 1.318801250480561972e-10, 1.800501845508032604e-09, 9.231329081974758722e-10, 3.858620705702203047e-12, 1.165517718364747837e-10, 5.258572995732494046e-10, 2.012688737812076857e-09, 6.913759422492678190e-10
2.096000000000000000e+03, 2.927578929074013932e-10, 2.227316048426068544e-09, 1.651494145601123018e-10, 1.720090273264847307e-09, 9.750913050118401731e-10, 1.060408313580270251e-11, 1.320335990433181289e-10, 5.285259465634127826e-10, 2.250820481297162672e-09, 6.908396172842326947e-10
2.097000000000000000e+03, 2.921564023452901903e-10, 2.221570224311447704e-09, 1.659219647007552876e-10, 1.582579884944635285e-09, 9.277437502885216313e-10, 1.675783202974624306e-11, 1.345332197154787921e-10, 5.269462834093433864e-10, 2.427036974762976145e-09, 6.945385479980889303e-10
2.098000000000000000e+03, 2.895630850084071763e-10, 2.211103253356625459e-09, 1.664283599201937412e-10, 1.569235361197381429e-09, 9.631531665004868791e-10, 1.950125123693595596e-11, 1.384454040821793151e-10, 5.192870368837335478e-10, 2.218565917995530593e-09, 6.926967312697003287e-10
2.099000000000000000e+03, 2.879772681400342041e-10, 2.203259344713638321e-09, 1.671737425256431434e-10, 1.694676357588327112e-09, 9.329480836029823343e-10, 2.085738002142323725e-11, 1.432367767329779640e-10, 5.105926982292715483e-10, 2.053449382350527912e-09, 6.944026792505692439e-10
2.100000000000000000e+03, 2.901693148011771006e-10, 1.261828539590297530e-09, 1.677870444318234311e-10, 1.576546959635563663e-09, 9.412349405843749254e-10, 2.234490382925949873e-11, 1.462376569572333554e-10, 3.734413750646218090e-10, 2.267129177229943225e-09, 5.358851338170636237e-10
