year, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, CanESM5, MIROC-ES2L
2.058000000000000000e+03, 4.235538573814820573e+00, 1.455453784966244335e+00, 1.209384872486839768e+01, 9.141461175146849527e+00, 6.134408879914520218e-01, 1.654701259092586252e+00, 7.604928009251467280e+00, 1.412362701059421299e+00, 2.631366849284133114e+00, 1.125609240955621093e+00, 1.318935753530202870e+00, 3.764091175140941825e+00, 7.596323728471444880e+00
2.059000000000000000e+03, 4.236197506327408213e+00, 1.500043022274344384e+00, 1.215490451027102736e+01, 9.178598041027417054e+00, 5.759681399478823183e-01, 1.591150429619988982e+00, 7.543254419461713489e+00, 1.391435127947294736e+00, 2.671690327299174772e+00, 1.118702295414535364e+00, 1.272927466069949221e+00, 3.706459438672171647e+00, 7.462669691546424566e+00
2.060000000000000000e+03, 4.266623119761685068e+00, 1.556561760427970231e+00, 1.222158115804018408e+01, 9.289849948941860447e+00, 4.164444807450235486e-01, 1.492074594936836140e+00, 7.537081994880244551e+00, 1.334450199335138310e+00, 3.012459937859118586e+00, 1.126524690825622566e+00, 1.301382476632069629e+00, 3.722464102444928979e+00, 7.393481943556195368e+00
2.061000000000000000e+03, 4.266654016657388304e+00, 1.494189773685926648e+00, 1.224769040667425557e+01, 9.619597864384124009e+00, 6.129075456320678406e-01, 1.520385116161874439e+00, 7.452191174359003689e+00, 1.405768505419729086e+00, 2.673289322170647075e+00, 1.133302488282748044e+00, 1.364814315268336298e+00, 3.770173202467224538e+00, 7.458086223257531344e+00
2.062000000000000000e+03, 4.281707684922777979e+00, 1.532565144556351289e+00, 1.235099552351642949e+01, 9.641133203162304710e+00, 9.139610903764565641e-01, 1.635617888471493142e+00, 7.515076465896951774e+00, 1.406157193524736337e+00, 2.327752537002492073e+00, 1.136226701830960417e+00, 1.345502196622478497e+00, 3.786051240379838756e+00, 7.627613159270609344e+00
2.063000000000000000e+03, 4.256168073267925678e+00, 1.542515021959292687e+00, 1.236955759586819958e+01, 9.433127619069278325e+00, 6.128606019404707617e-01, 1.668592235887116360e+00, 7.465409006349197796e+00, 1.356679321245223502e+00, 2.432250604565932672e+00, 1.154556468074218190e+00, 1.294226103395814009e+00, 3.722807042906623565e+00, 7.646966227847570075e+00
2.064000000000000000e+03, 4.242768792898231389e+00, 1.573257234349035638e+00, 1.260927071662595544e+01, 9.378351130149724213e+00, 4.392312683894980530e-01, 1.641891361431059071e+00, 7.438256200932300999e+00, 1.356689731616756989e+00, 2.631939574214508859e+00, 1.184137031829496589e+00, 1.317053528072454238e+00, 3.809774777881978824e+00, 7.619219601657464480e+00
2.065000000000000000e+03, 4.275447283676012233e+00, 1.566882589263211889e+00, 1.263719771919327428e+01, 9.410642773147502638e+00, 4.488524508451302020e-01, 1.674737749006232068e+00, 7.443925073669941384e+00, 1.389885456089833715e+00, 2.627782390517592326e+00, 1.169470630363022901e+00, 1.379428280863540301e+00, 3.853538608687237410e+00, 7.699884462260423668e+00
2.066000000000000000e+03, 4.255558450029412576e+00, 1.537348943359715392e+00, 1.259588605752341017e+01, 9.478935951962226270e+00, 9.196406878411230723e-01, 1.698915129503424826e+00, 7.457788022637605430e+00, 1.455221411925490704e+00, 2.820310161149182537e+00, 1.152696692910476495e+00, 1.346076433633483171e+00, 3.784465287073332629e+00, 7.767936008297355421e+00
2.067000000000000000e+03, 4.235836891240889912e+00, 1.548931820447460028e+00, 1.283301128792805024e+01, 9.465841320402391901e+00, 6.834677526065079389e-01, 1.543806129436684715e+00, 7.464727361659169169e+00, 1.384925346661947998e+00, 2.653174141974441014e+00, 1.119051275239594689e+00, 1.318240475454917293e+00, 3.953696961350606554e+00, 7.706989856953629037e+00
2.068000000000000000e+03, 4.238030180575055539e+00, 1.564127111376197865e+00, 1.300956894224721339e+01, 9.436038972533765445e+00, 3.990428338609617320e-01, 1.480192496665962532e+00, 7.428852598884517988e+00, 1.393006479501571304e+00, 3.294577927760111713e+00, 1.115036932161526328e+00, 1.347103899105263958e+00, 3.835424064366654839e+00, 7.681863657297157033e+00
2.069000000000000000e+03, 4.242732822054323449e+00, 1.562020326609843801e+00, 1.306949587372412402e+01, 9.510225020389311723e+00, 7.591243981362292281e-01, 1.588992837536863600e+00, 7.405395422579159614e+00, 1.433725893307503441e+00, 2.669417174140531035e+00, 1.107314368791081138e+00, 1.375347224206052710e+00, 3.754239754512394001e+00, 7.772917286225147215e+00
