year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
1.922000000000000000e+03, 8.078494376760487294e-10, 9.221925336255508198e-10, 5.066153169671344167e-11, 6.037103375130002867e-11, 5.331712924101909834e-10, 2.514193849369494469e-10, 4.126553433693572817e-11, 1.629853941371509179e-09
1.923000000000000000e+03, 7.275683930462574884e-10, 1.006548799315614991e-09, 5.303551990905754422e-11, 6.303839729285167167e-11, 3.871400816696687852e-10, 2.504142257046962251e-10, 4.311412087951295057e-11, 1.784602162731815388e-09
1.924000000000000000e+03, 5.700541651714401667e-10, 9.670715475869720116e-10, 5.611245910027538175e-11, 6.626686936789076470e-11, 6.935408884817632355e-10, 2.349807783535396005e-10, 4.514389692983108230e-11, 1.638657973244487388e-09
1.925000000000000000e+03, 5.671295506348931177e-10, 8.299493128413465242e-10, 5.894711744773229959e-11, 6.902263078896122743e-11, 5.901172285927465660e-10, 2.035256024066607572e-10, 4.706820456247627907e-11, 1.504113772505448114e-09
1.926000000000000000e+03, 6.924408804240437296e-10, 8.717294021074346846e-10, 6.225559004298279959e-11, 7.174103348527014412e-11, 6.003299403888472409e-10, 2.833007083883995176e-10, 4.872673263379280654e-11, 1.652112175277226755e-09
1.927000000000000000e+03, 8.728425026327108810e-10, 9.316589078327693937e-10, 6.492710539954973442e-11, 7.468438934022332922e-11, 4.782696563487749167e-10, 3.163535342227309779e-10, 5.070817036058243561e-11, 1.839436362740174669e-09
1.928000000000000000e+03, 8.514151288268293425e-10, 8.871636413344173256e-10, 6.766384233437630825e-11, 7.779884217105365718e-11, 7.656631975481372036e-10, 2.552883891908496687e-10, 5.273912791482851875e-11, 1.701782043619820818e-09
1.929000000000000000e+03, 7.137775464764238323e-10, 9.436211587874804963e-10, 7.067443361861096950e-11, 8.074437465726287908e-11, 6.134711292121277552e-10, 2.543043105690188456e-10, 5.474986757548191374e-11, 1.448854813618366283e-09
1.930000000000000000e+03, 5.760773267401172264e-10, 9.757054311344904580e-10, 7.535904283163644216e-11, 8.376602769589685110e-11, 5.442145466724365760e-10, 2.391352426607979829e-10, 5.802007736539391984e-11, 1.536249521560974681e-09
1.931000000000000000e+03, 7.539404332489436961e-10, 9.096609394307006876e-10, 7.891589073651466685e-11, 8.680967413077151739e-11, 4.823578993537880279e-10, 2.338937525155905169e-10, 6.032907538933375422e-11, 1.643799596505532827e-09
1.932000000000000000e+03, 8.655984513611679992e-10, 9.855315518183682746e-10, 8.213616799126780146e-11, 9.206548666223097911e-11, 7.619176761131357867e-10, 2.485007291335371128e-10, 6.287871623132539029e-11, 1.679404000712798537e-09
1.933000000000000000e+03, 8.605430794747736852e-10, 9.798552034854414049e-10, 8.912753668610216030e-11, 9.458735567886234467e-11, 6.271058045291742188e-10, 2.742313840758649379e-10, 6.569455849410271868e-11, 1.602221656542264919e-09
1.934000000000000000e+03, 9.382505722485306397e-10, 9.596876790562882782e-10, 9.307130321612620682e-11, 9.798395885529171650e-11, 6.836431471158941736e-10, 2.974440951524598829e-10, 6.820691691420180271e-11, 1.595966177982764735e-09
1.935000000000000000e+03, 8.961108631887392048e-10, 8.816646269598468415e-10, 9.810315709702927709e-11, 1.008344681886414951e-10, 5.461852289951723237e-10, 3.115352682265721882e-10, 7.043825142692848667e-11, 1.739903426390872576e-09
1.936000000000000000e+03, 1.034086058357728969e-09, 8.226874300115621311e-10, 1.017637459172852961e-10, 1.041059812133393179e-10, 7.253343390904290082e-10, 2.560798507915440303e-10, 7.311895766113206696e-11, 1.977396491766907930e-09
1.937000000000000000e+03, 9.230218018679826224e-10, 9.400360640500795771e-10, 1.060727211239549298e-10, 1.075190949921858526e-10, 7.114195348135642502e-10, 3.020233292064774741e-10, 7.584139238397609869e-11, 1.925680180613614043e-09
1.938000000000000000e+03, 1.053464975559152105e-09, 1.036928844124654087e-09, 1.097544248957659734e-10, 1.111641174853157566e-10, 4.989446858807089383e-10, 2.800697124448856351e-10, 7.857753306549487411e-11, 1.588285582690037116e-09
1.939000000000000000e+03, 8.354972257194549211e-10, 1.189829649596856682e-09, 1.136279416523529075e-10, 1.149906735176828076e-10, 7.451470959523398022e-10, 2.738470509034226571e-10, 8.134173403443563843e-11, 1.839221079407332367e-09
1.940000000000000000e+03, 8.232716785148768567e-10, 1.213121480013557718e-09, 1.168010034504334386e-10, 1.187184905397362792e-10, 7.659789259877119101e-10, 2.842299526990483018e-10, 8.424985354360721960e-11, 1.805145630673671492e-09
1.941000000000000000e+03, 8.962475806415949449e-10, 1.257890363667587973e-09, 1.196577344058898501e-10, 1.172004136258738213e-10, 5.691362985229760831e-10, 3.078517219640876184e-10, 8.501933429207968207e-11, 1.865999656675323824e-09
1.942000000000000000e+03, 1.068480904004786760e-09, 1.116886927703972058e-09, 1.232626219265040696e-10, 1.212473756343570164e-10, 9.315019957235467043e-10, 2.637782572006203157e-10, 8.789646153524960803e-11, 1.564627473221772640e-09
1.943000000000000000e+03, 6.794431328372316391e-10, 1.055397284063273686e-09, 1.271582358523302110e-10, 1.254419472159773504e-10, 6.122392010942877795e-10, 2.704278758139557634e-10, 9.068786269775259835e-11, 1.808124568523442536e-09
1.944000000000000000e+03, 7.002351414017271501e-10, 1.008608639562573900e-09, 1.316023457532725867e-10, 1.296057240971539324e-10, 6.456669723848498529e-10, 2.636610363608295223e-10, 9.359000077682724329e-11, 1.709775052501136234e-09
1.945000000000000000e+03, 8.946314366145535961e-10, 1.233308679176282448e-09, 1.362150819011553422e-10, 1.337102689150071304e-10, 9.478793450851132830e-10, 3.316521585978611811e-10, 9.661904177002274930e-11, 1.810910210894834898e-09
1.946000000000000000e+03, 9.519904681269499665e-10, 1.088624798862893000e-09, 1.413978606515871030e-10, 1.382509477173823106e-10, 7.849373661667821237e-10, 3.673233231665285341e-10, 9.962485574597464270e-11, 1.993351856076724501e-09
1.947000000000000000e+03, 8.069275185912271886e-10, 1.083168833462608911e-09, 1.471650816518081556e-10, 1.426802052744579076e-10, 6.765676197414891196e-10, 3.612360471328453975e-10, 1.028570759517097252e-10, 1.876843976985465421e-09
1.948000000000000000e+03, 6.466889534121238975e-10, 1.140070193561799798e-09, 1.531936379890956233e-10, 1.466781011249974210e-10, 8.320043515382935808e-10, 3.689468822242036339e-10, 1.060284218765046372e-10, 1.905365238457770862e-09
1.949000000000000000e+03, 8.010546395339943914e-10, 1.332430400721819560e-09, 1.603163979977116794e-10, 1.510344888102748247e-10, 7.870240691335927998e-10, 3.248481524864465531e-10, 1.092967534776127735e-10, 1.732720434138834014e-09
1.950000000000000000e+03, 8.652591867038136566e-10, 1.344186531636489717e-09, 1.662911956730103798e-10, 1.594859942485421163e-10, 7.273009371198735439e-10, 3.204069001477102905e-10, 1.147196105916655290e-10, 2.315067789670103237e-09
1.951000000000000000e+03, 9.533787264801059892e-10, 1.336524186299078035e-09, 1.773402942516200254e-10, 1.576374842537235452e-10, 6.598482196745049278e-10, 3.074201429317375356e-10, 1.157940508837320884e-10, 2.054634729481311170e-09
1.952000000000000000e+03, 8.988929726931440274e-10, 1.219426153474270872e-09, 1.842837013031266619e-10, 1.678392838653846651e-10, 9.119747161480799740e-10, 3.332952090406258858e-10, 1.248481064391811218e-10, 1.979227371081485368e-09
1.953000000000000000e+03, 8.441347599052858215e-10, 1.218705197873867834e-09, 1.907496360046734254e-10, 1.754270056310356732e-10, 6.973135011520270776e-10, 2.860352894364036791e-10, 1.305669822633239757e-10, 1.762991102035345590e-09
1.954000000000000000e+03, 7.549496991091836293e-10, 1.287625175474079689e-09, 1.957210644302326543e-10, 1.826199453535870373e-10, 5.096597146060266418e-10, 3.025225557303972894e-10, 1.356889826962412747e-10, 2.065263296079977613e-09
