year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM
1.949000000000000000e+03, 1.071610760910111371e-10, 4.075229048568632405e-10, 3.692784044779482404e-10, 1.776192778759574814e-10, 2.880429803640866059e-10
1.950000000000000000e+03, 1.319647018453323369e-10, 4.277265932155237409e-10, 4.929201456687520690e-10, 2.807389576775920203e-10, 2.462819637102260924e-10
1.951000000000000000e+03, 1.035449323583435100e-10, 3.866193300794874228e-10, 3.986905936054729649e-10, 2.215034431698178158e-10, 3.695784034976135751e-10
1.952000000000000000e+03, 1.102812748573760699e-10, 3.758048986414225824e-10, 6.057555361752030500e-10, 2.310255917909628684e-10, 1.694086838396963807e-10
1.953000000000000000e+03, 1.188320762717897077e-10, 3.574451640570293638e-10, 4.360363037689243685e-10, 2.109166647442263076e-10, 2.985122740241646786e-10
1.954000000000000000e+03, 1.447876884830483342e-10, 3.538734335976642551e-10, 4.623145653066832054e-10, 1.812351625358961699e-10, 2.793670364751348271e-10
1.955000000000000000e+03, 1.189056139267129038e-10, 4.490845381689024593e-10, 3.157512782337091768e-10, 1.432508106745344459e-10, 3.831259850421630519e-10
1.956000000000000000e+03, 1.936532843647161916e-10, 5.940690717177812560e-10, 3.964545722208367906e-10, 1.755423483143602276e-10, 2.843952010928039620e-10
1.957000000000000000e+03, 9.758415863830021091e-11, 6.366989240062934050e-10, 2.263957804067035964e-10, 2.424439877089641982e-10, 3.401562444650247793e-10
1.958000000000000000e+03, 1.536648415588129639e-10, 6.115846853270086455e-10, 2.731297831145938300e-10, 2.732279501607956542e-10, 2.271112189421526400e-10
1.959000000000000000e+03, 1.291471515745569179e-10, 3.250496799270063265e-10, 2.332833351519375824e-10, 2.104865540196545378e-10, 2.776127588580404859e-10
1.960000000000000000e+03, 1.310879748510847783e-10, 6.666831396008261547e-10, 3.494628615001520865e-10, 2.515277329191138461e-10, 2.423666889695869540e-10
1.961000000000000000e+03, 1.364705976438245498e-10, 5.520158980760382363e-10, 3.444095567140831851e-10, 2.370269389702026069e-10, 4.092958724078020773e-10
1.962000000000000000e+03, 1.241619239433958110e-10, 6.940584059935310884e-10, 4.561067757657544857e-10, 2.228101786534473419e-10, 2.986937540724787676e-10
1.963000000000000000e+03, 1.233298091743773651e-10, 3.158845892729006151e-10, 3.906804457419157722e-10, 1.644362970766272245e-10, 1.941086377994176886e-10
1.964000000000000000e+03, 1.179588139082852891e-10, 4.624776846982206440e-10, 2.174315010091060690e-10, 3.577711108438592396e-10, 3.181763138194335147e-10
1.965000000000000000e+03, 1.118003825862263431e-10, 4.348512270165190750e-10, 2.633212747446479177e-10, 3.064835834350957274e-10, 3.842919993274543821e-10
1.966000000000000000e+03, 1.327979699839638379e-10, 4.456519969737927885e-10, 3.338725279014312633e-10, 1.909430206014003464e-10, 2.368454195116979984e-10
1.967000000000000000e+03, 9.574137558988609134e-11, 4.863280991533376597e-10, 1.606813793990592074e-10, 1.632853953577705527e-10, 2.816838217001887484e-10
1.968000000000000000e+03, 1.350846955345935074e-10, 7.450414174402756994e-10, 1.628910117644054247e-10, 1.271310652484519871e-10, 2.668497554843554611e-10
1.969000000000000000e+03, 9.705213210213577062e-11, 2.869570099056197548e-10, 1.487924116588572031e-10, 1.456664310555691025e-10, 2.619169461741931670e-10
1.970000000000000000e+03, 1.480412005644698414e-10, 5.110008501976591040e-10, 2.225354114676508586e-10, 4.086494811233351979e-10, 1.640167156771007005e-10
1.971000000000000000e+03, 1.459042797203530571e-10, 5.220600287913883990e-10, 2.890035778261988790e-10, 1.399841745183694134e-10, 3.183714086761806982e-10
1.972000000000000000e+03, 1.421227876522953046e-10, 2.825535985556739751e-10, 3.475370998781138792e-10, 1.628436548455143271e-10, 1.916260299753947993e-10
1.973000000000000000e+03, 1.535492203092093326e-10, 3.436668449779070094e-10, 3.651133853413581833e-10, 1.377879721662435693e-10, 3.579444756861150261e-10
1.974000000000000000e+03, 1.209740846993462358e-10, 3.992216063298317054e-10, 2.257868751289487095e-10, 2.272768711388320804e-10, 1.644396308949462042e-10
1.975000000000000000e+03, 1.682429267283425602e-10, 6.818921631471853630e-10, 2.647596544560465331e-10, 1.718199108472761326e-10, 1.483594771884453602e-10
1.976000000000000000e+03, 1.240015647585785271e-10, 5.766074738633071780e-10, 2.125390640458732392e-10, 1.714696005228202093e-10, 2.718463634804348727e-10
1.977000000000000000e+03, 1.188095473156744086e-10, 2.978620839485530693e-10, 1.873614991764084463e-10, 1.528192172370742052e-10, 2.291113427384191796e-10
