year, GFDL-ESM4, CanESM5, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1
1.900000000000000000e+03, 4.050799759828096036e+00, 4.834868521200078817e+00, 3.447018504373568160e+00, 2.356399966951323144e+00, 3.472572355085484563e+00, 3.823603572748299761e+00, 1.960266085398188363e+00, 4.534832926630336658e+00, 4.085511573248814088e+00, 3.573960920090463844e+00, 5.578273432003912013e+00, 4.807183820712717548e+00, 4.115988681532949833e+00, 2.235648596724054915e+00
1.901000000000000000e+03, 4.122239325965150414e+00, 4.948800688085530197e+00, 3.621888226220436824e+00, 2.736926466294308469e+00, 3.692314917616364767e+00, 3.892767331825396138e+00, 1.971154808229791389e+00, 4.783641943903963245e+00, 3.994427125824129732e+00, 3.626703933558801385e+00, 5.483699741644190162e+00, 4.586596677458487648e+00, 4.258759736157774256e+00, 2.096472367274595960e+00
1.902000000000000000e+03, 3.954489450298308117e+00, 4.721644521205288214e+00, 3.605201130462947212e+00, 2.796240185077683016e+00, 3.566813912228802952e+00, 3.864553715405876222e+00, 1.940080208109760118e+00, 4.625925188531776477e+00, 4.125194920533476584e+00, 3.757268447444471526e+00, 5.678439017378807740e+00, 4.833477900342777467e+00, 4.147922816771616894e+00, 2.150605584546633864e+00
1.903000000000000000e+03, 3.831432680956693648e+00, 4.756296498611225054e+00, 3.259745319775598116e+00, 2.572777684447121516e+00, 3.413598797242579863e+00, 3.824330108231730918e+00, 1.880497105164226967e+00, 4.249892318433658112e+00, 3.951821543906247847e+00, 3.722934415712910283e+00, 5.439040219336694015e+00, 4.652037539815697897e+00, 3.839027036279107463e+00, 2.111129668568134221e+00
1.904000000000000000e+03, 3.777116363096820972e+00, 4.821162555900178504e+00, 3.459336033462319104e+00, 2.604018333551084474e+00, 3.506553571863037622e+00, 3.749193755956916618e+00, 1.923989948299098751e+00, 4.625726744795390921e+00, 3.879384816734544827e+00, 3.772225154809389025e+00, 5.502548670261842467e+00, 4.574273146950146973e+00, 4.114425102541381385e+00, 2.092230503804134667e+00
1.905000000000000000e+03, 4.036945760454976551e+00, 4.974750407413388587e+00, 3.475702254927824697e+00, 2.844216555728792173e+00, 3.494719247198460277e+00, 3.885886256939330874e+00, 1.928227057251290066e+00, 4.987441459827168799e+00, 3.830466863326262850e+00, 3.583037496091702412e+00, 5.517852038563170858e+00, 4.773756587251647865e+00, 4.101244080818825744e+00, 2.111634753922360552e+00
1.906000000000000000e+03, 3.969301114485810356e+00, 4.938625564488510200e+00, 3.452834972414482895e+00, 2.334904225471958750e+00, 3.228574083283174634e+00, 4.012392705186532460e+00, 1.970085159118112550e+00, 4.625043819373173548e+00, 4.243608418157834627e+00, 3.647931660339626792e+00, 5.685223120377361106e+00, 4.605095508996291720e+00, 4.177450553895449836e+00, 2.186782555142396500e+00
1.907000000000000000e+03, 4.118536943496864389e+00, 4.740357845748067511e+00, 3.450531694969151353e+00, 3.024987657094759363e+00, 3.408801337524820507e+00, 3.996680964118352719e+00, 1.920447174120679446e+00, 4.712113947002642078e+00, 4.015690174876567653e+00, 3.720897594020685872e+00, 5.745045870257906806e+00, 4.719266239777843985e+00, 4.272206977739517519e+00, 2.049705408008968277e+00
1.908000000000000000e+03, 4.063216367395186879e+00, 4.791375775790338132e+00, 3.388575595660520801e+00, 2.762374560709476956e+00, 3.179238843088187494e+00, 3.854073398781948434e+00, 2.001450261676157361e+00, 4.914969339825511874e+00, 4.044627645041349417e+00, 3.773112217444590133e+00, 5.592903525479450799e+00, 5.114621351024337237e+00, 4.190690901804953405e+00, 2.181979967447949864e+00
1.909000000000000000e+03, 4.134655234425549608e+00, 4.958014322334120649e+00, 3.444195441145476710e+00, 2.785997144656062741e+00, 3.387495093443572358e+00, 3.939266713158315447e+00, 1.979994175951678370e+00, 4.563380636801194434e+00, 4.057040697747274827e+00, 3.780231490178180387e+00, 5.400583927579241106e+00, 4.761943046754630871e+00, 4.271367477259487622e+00, 2.112160867504511153e+00
