year, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, TaiESM1, NorESM2-LM, NorESM2-MM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg
2.083000000000000000e+03, 9.672459848803844585e-10, 7.916834875279454441e-10, 2.407884633451614292e-10, 2.407884633451614292e-10, 8.334681698831870358e-10, 9.672459848803844585e-10, 7.390532707666650456e-10, 2.166663593497472771e-10, 7.862772393278338688e-10, 6.815887305434056009e-10, 2.166663593497472771e-10, 7.401177276944165851e-10
2.084000000000000000e+03, 1.078602167620481923e-09, 8.255645719236989664e-10, 3.902133435100777840e-10, 3.902133435100777840e-10, 6.376024262331578568e-10, 1.078602167620481923e-09, 5.554571803718426181e-10, 1.829886185216735475e-10, 8.028115656327726796e-10, 6.987055890938342474e-10, 1.829886185216735475e-10, 4.539848927975210425e-10
2.085000000000000000e+03, 7.350804322295538388e-10, 8.859253552126835915e-10, 3.516583154160650177e-10, 3.516583154160650177e-10, 7.495840856997752664e-10, 7.350804322295538388e-10, 8.448532833553866705e-10, 3.303896694382699301e-10, 1.014218977972225090e-09, 9.076493292523205196e-10, 3.303896694382699301e-10, 7.773738205877160981e-10
2.086000000000000000e+03, 9.493595391211132947e-10, 8.969212773028997080e-10, 2.403564678104533600e-10, 2.403564678104533600e-10, 7.499042331909372969e-10, 9.493595391211132947e-10, 8.806867823831934884e-10, 2.637555080760109647e-10, 7.993294784463177491e-10, 6.939976009654018129e-10, 2.637555080760109647e-10, 9.367738069496414967e-10
2.087000000000000000e+03, 8.301826311205937273e-10, 8.418939392557874123e-10, 2.153779816241865624e-10, 2.153779816241865624e-10, 6.725997260083204994e-10, 8.301826311205937273e-10, 7.479567990687980996e-10, 3.081390485841935690e-10, 6.293675790530019066e-10, 5.263154965353960984e-10, 3.081390485841935690e-10, 4.925974097594933867e-10
2.088000000000000000e+03, 6.625638937827012782e-10, 8.366490889214360769e-10, 2.912352161913239272e-10, 2.912352161913239272e-10, 7.139717620565055738e-10, 6.625638937827012782e-10, 7.359870676185899633e-10, 2.178572052576750003e-10, 7.779491130263089812e-10, 6.739179054010462771e-10, 2.178572052576750003e-10, 6.942789424666267770e-10
2.089000000000000000e+03, 7.632905278513306761e-10, 8.755544244005138844e-10, 2.872259401399017891e-10, 2.872259401399017891e-10, 5.391624183226430023e-10, 7.632905278513306761e-10, 1.013455291901353470e-09, 1.745327717832864227e-10, 6.674334248548838751e-10, 5.633277095643568431e-10, 1.745327717832864227e-10, 9.716375397691899000e-10
2.090000000000000000e+03, 7.145017672902016939e-10, 8.423296833912876352e-10, 3.675334640329145562e-10, 3.675334640329145562e-10, 5.159292411994132547e-10, 7.145017672902016939e-10, 9.391562758644810226e-10, 2.147477125589234898e-10, 6.884879928832992301e-10, 5.821756869525703405e-10, 2.147477125589234898e-10, 7.103462153423953111e-10
2.091000000000000000e+03, 5.780750346995103498e-10, 8.224008971777229785e-10, 2.061437982842076588e-10, 2.061437982842076588e-10, 3.220521619067784861e-10, 5.780750346995103498e-10, 8.450686084686803092e-10, 2.823564877642286420e-10, 6.555998482478614193e-10, 5.527231785459614780e-10, 2.823564877642286420e-10, 5.973133036364092180e-10
2.092000000000000000e+03, 5.055287921029669114e-10, 8.467214321089447507e-10, 3.291004337097161228e-10, 3.291004337097161228e-10, 7.293968404051730919e-10, 5.055287921029669114e-10, 8.489308764672472356e-10, 2.168555884684478135e-10, 8.599356651855607584e-10, 7.592273663658194526e-10, 2.168555884684478135e-10, 9.201622195036735578e-10
