year, GFDL-ESM4, NorESM2-LM, TaiESM1, NorESM2-MM, CNRM-ESM2-1
1.986000000000000000e+03, 3.673927922715815608e-10, 3.134575613442579435e-10, 2.993320910809961690e-10, 2.462666679000637434e-10, 7.340990043355424522e-10
1.987000000000000000e+03, 2.400215019891631228e-10, 1.578577355415823173e-10, 4.472190155763108866e-10, 1.730650147761875456e-10, 9.750045472093027652e-10
1.988000000000000000e+03, 2.387259617334992551e-10, 1.824741000630425681e-10, 3.013732718881502312e-10, 1.739408193830099401e-10, 1.406313975180786012e-09
1.989000000000000000e+03, 3.680685350054423212e-10, 1.524059086840878372e-10, 3.337394182267409489e-10, 5.945554755535715660e-10, 1.064073166797416904e-09
1.990000000000000000e+03, 2.070342791784034481e-10, 2.400363203247347466e-10, 2.879569407428786275e-10, 4.983414710966528856e-10, 7.951861805298071801e-10
1.991000000000000000e+03, 1.935315475452672209e-10, 3.634082483988216801e-10, 5.050896572552241610e-10, 2.438775999090187142e-10, 7.117095472487020300e-10
1.992000000000000000e+03, 1.927348190733662799e-10, 2.254657792084182083e-10, 2.992356960858710563e-10, 3.113114085725670988e-10, 9.042358990578049981e-10
1.993000000000000000e+03, 5.449114614224271466e-10, 2.249045647003848799e-10, 3.591806708416955447e-10, 3.586157818675840548e-10, 1.035026056931479547e-09
1.994000000000000000e+03, 3.451039404756562548e-10, 2.028374466715581672e-10, 5.359608052749480591e-10, 6.687415163501839965e-10, 1.777273811351966761e-09
1.995000000000000000e+03, 2.961765049785881169e-10, 3.748924210064184618e-10, 3.518195641813352190e-10, 6.359333181535643334e-10, 1.144325831714203556e-09
1.996000000000000000e+03, 2.573771911043695473e-10, 2.652217088493067311e-10, 5.607978246442021112e-10, 5.407718028760417872e-10, 8.979367006226048736e-10
1.997000000000000000e+03, 3.096506779774347733e-10, 3.721815249014690073e-10, 6.774188959389832364e-10, 3.233956219302717848e-10, 7.070933563952462156e-10
1.998000000000000000e+03, 2.896648427406264509e-10, 3.002007254326183358e-10, 2.773687774170842196e-10, 1.641183064305430779e-10, 7.885842544617441788e-10
1.999000000000000000e+03, 2.788562744030070101e-10, 3.411202106857301547e-10, 4.003447697914365265e-10, 1.257821393905581646e-10, 8.261366011374349204e-10
2.000000000000000000e+03, 2.984657721326600407e-10, 3.548768342251860031e-10, 3.442808242465896587e-10, 1.698965070242850495e-10, 6.998485746501490040e-10
2.001000000000000000e+03, 2.625318486499925841e-10, 2.481376661682564648e-10, 1.919335374425557637e-10, 3.531200557593691252e-10, 1.132040192255557924e-09
2.002000000000000000e+03, 2.157429902532825002e-10, 1.521686689568040374e-10, 2.002636917559543969e-10, 5.066060743680859806e-10, 2.005725604860603136e-09
2.003000000000000000e+03, 2.700065871365914112e-10, 1.863210425214801229e-10, 3.682894917010901363e-10, 7.373626316014115911e-10, 1.109850148505987214e-09
2.004000000000000000e+03, 2.953221157107794794e-10, 6.278969849058633137e-10, 5.798272543290425028e-10, 4.904262553984505193e-10, 7.823689424393938745e-10
2.005000000000000000e+03, 3.316554635397663623e-10, 1.772259487641302488e-10, 1.948332077365684669e-10, 4.410357831901850159e-10, 9.162057560871026755e-10
2.006000000000000000e+03, 1.680380553014020654e-10, 1.947288864274290371e-10, 3.219260454952453417e-10, 3.335092521681215918e-10, 1.289395587782388866e-09
2.007000000000000000e+03, 3.790163377362914015e-10, 3.423956970665360488e-10, 2.958496212416729384e-10, 2.543389337242921611e-10, 1.095882996352982050e-09
2.008000000000000000e+03, 6.174708052584064743e-10, 5.325494820072805694e-10, 1.183519823351658591e-10, 1.930075644977853796e-10, 1.018616132945236822e-09
2.009000000000000000e+03, 4.382929476219235188e-10, 3.049924032631873862e-10, 2.119955684870653662e-10, 3.303041652359163888e-10, 6.774441029796139130e-10
2.010000000000000000e+03, 2.988412740364555274e-10, 3.708647375575076227e-10, 3.365051907926523218e-10, 3.154743550185857765e-10, 7.627398097921993841e-10
2.011000000000000000e+03, 2.907914017694064533e-10, 3.459593234774291755e-10, 5.892799712564711446e-10, 3.052071034228081098e-10, 1.018783048314701405e-09
2.012000000000000000e+03, 3.906414828944919409e-10, 3.004905420667127146e-10, 4.148167096510268680e-10, 4.589433025958959246e-10, 9.475716892840478284e-10
2.013000000000000000e+03, 2.216024374061851985e-10, 3.657872128149579373e-10, 2.020535146095104534e-10, 7.142985990366140419e-10, 6.619327026899220143e-10
2.014000000000000000e+03, 4.193658803104253435e-10, 3.219890598419979997e-10, 1.608829014512962282e-10, 7.208216269780477517e-10, 7.297114410151081480e-10
