year, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM
1.928000000000000000e+03, 7.392219696999940456e-10, -2.085555115435689974e-10, -9.135215295146725138e-10, 1.853900918513700722e-09, -1.070938376040747402e-09, -1.664573285634097658e-09, -1.232223815991248834e-09, -2.608158955510414087e-10
1.929000000000000000e+03, -1.869504900167184490e-09, -6.211340668689249409e-11, -1.598667029635304367e-10, -1.905107144957028536e-10, -2.827335264411912510e-10, -7.245458635023880848e-10, -4.314662986703361883e-10, 4.057193729709202998e-10
1.930000000000000000e+03, -1.501832559768525502e-10, 5.715754936026842157e-10, -3.250466892518534126e-10, -3.021605206522591677e-10, 9.001610973315687599e-10, 7.036435864402845119e-10, -2.438382424072105348e-10, 2.809943323565898818e-10
1.931000000000000000e+03, 1.369381728970858830e-09, -9.005725450354482957e-10, 8.461432540043500553e-10, -7.028857491225843255e-10, -8.782134872835725395e-12, -4.105149360919829678e-10, -3.754126149938296622e-10, -7.039264917505019936e-10
1.932000000000000000e+03, 4.097836990347401917e-10, 5.467481671606513809e-10, 3.915562182542771983e-10, 5.726515271612524924e-10, 1.345380621273815783e-09, -1.777037595339056820e-09, 1.280990860900716239e-10, -4.289163583808961815e-10
1.933000000000000000e+03, -2.715744796349516560e-09, 4.524587245782136665e-11, -2.040264419950787858e-10, -1.207596814907389505e-09, 1.818391545701663730e-09, 1.761871201721628645e-10, -1.764414301351992576e-10, 4.036283146929932820e-10
1.934000000000000000e+03, 5.408677598823579613e-11, 5.423534378580292602e-10, -6.119973671075327608e-12, -3.210899600922972158e-11, -9.843906311826745746e-10, 1.521497157809416133e-10, 1.616093376489454695e-10, 5.446386483227314314e-10
1.935000000000000000e+03, 1.798787643527028423e-09, -8.663939284709147359e-10, 9.848282130036510935e-10, 7.737761900380713756e-10, -9.652129893104282248e-10, -9.847148890452874433e-10, -5.800225544389686131e-10, -8.897532892205436016e-10
1.936000000000000000e+03, 7.524894854180205151e-10, 1.337287170372301739e-10, -3.451625739262204264e-10, 2.195662140831057468e-09, -9.515616359023126150e-11, 1.340444025803510236e-09, -1.011789763582820165e-09, -1.399348198009678001e-10
1.937000000000000000e+03, -1.089679595938069405e-09, 1.432240206768536336e-10, 1.141548207315258909e-09, 1.786429284561307060e-10, 1.764539156841318815e-11, -2.526188936469074579e-10, -2.455190264446565111e-11, 5.517072479553980222e-10
1.938000000000000000e+03, -4.263691862364728219e-10, 9.961183607413378802e-10, 1.022902029994723001e-09, 3.103252650884569915e-10, 9.545288203296442719e-11, -1.273540093058686137e-09, -6.503666237402402283e-11, -3.394948540543899358e-11
1.939000000000000000e+03, -2.470136897027893072e-10, 4.264647686400101702e-10, 6.384003310657214941e-11, -6.359052715391657276e-10, 1.017306102231531950e-09, -3.413017242481240306e-10, -5.516141170837735830e-10, -1.176293543821160198e-10
1.940000000000000000e+03, 2.023895621988169072e-09, -5.408683868117749951e-10, -4.964451966844962168e-10, 4.274997321414554303e-10, 1.568555829649252718e-10, -4.814588775803716848e-10, -8.184198961208578545e-10, 3.652833959643952772e-10
1.941000000000000000e+03, -8.052221821786688590e-10, -5.950957073665571547e-10, -5.336057079943461271e-10, -1.104668818829411414e-09, -7.085134903686386262e-10, 1.693006666206393562e-09, -2.030871935893951329e-10, -1.705930308377638523e-10
1.942000000000000000e+03, -1.782416689748616785e-09, 6.464395842101618411e-10, -1.211119950909371590e-09, -7.756607238380552690e-10, -6.609370135022753856e-10, 1.195446974249585584e-09, 1.197505416587097410e-10, 2.498280189579542336e-10
